model,Tw,z,H,F,G,T,Fp,Gp,Tp
lopez,1.7,29.3,-0.9117996327758766,4.1824445096524225e-12,0.9999999999939116,1.0000000058661718,-3.813772291080688e-12,5.551701014018436e-12,-3.854546554688695e-09
lopez,1.7,29.32,-0.9117996327760424,4.106860292641734e-12,0.9999999999940217,1.0000000057895846,-3.744854630168706e-12,5.4513777071263355e-12,-3.804267478907993e-09
lopez,1.7,29.34,-0.9117996327762051,4.032642002593597e-12,0.9999999999941297,1.0000000057139968,-3.677182420947138e-12,5.352867401872822e-12,-3.754644264446055e-09
lopez,1.7,29.36,-0.911799632776365,3.959764867853283e-12,0.9999999999942358,1.0000000056393945,-3.6107330766307022e-12,5.256137218717828e-12,-3.70566833408525e-09
lopez,1.7,29.38,-0.911799632776522,3.888204652837357e-12,0.9999999999943399,1.0000000055657656,-3.5454844992236847e-12,5.161154989651357e-12,-3.6573312446026107e-09
lopez,1.7,29.400000000000002,-0.9117996327766761,3.817937644913867e-12,0.9999999999944422,1.000000005493097,-3.4814150675573377e-12,5.067889240779507e-12,-3.609624684400564e-09
lopez,1.7,29.42,-0.9117996327768274,3.748940334144933e-12,0.9999999999945427,1.0000000054213767,-3.4185033452792976e-12,4.976308767245214e-12,-3.5625403930391685e-09
lopez,1.7,29.44,-0.911799632776976,3.681189914471584e-12,0.9999999999946413,1.0000000053505915,-3.3567285378337e-12,4.886383298453369e-12,-3.5160702888907637e-09
lopez,1.7,29.46,-0.9117996327771218,3.614663773004132e-12,0.9999999999947381,1.0000000052807296,-3.296070026796348e-12,4.798082820203409e-12,-3.4702063397429842e-09
lopez,1.7,29.48,-0.9117996327772651,3.549339786207404e-12,0.9999999999948331,1.000000005211779,-3.2365076399363258e-12,4.71137796781743e-12,-3.4249406388639753e-09
lopez,1.7,29.5,-0.9117996327774058,3.4851963079242905e-12,0.9999999999949266,1.000000005143728,-3.178021640295831e-12,4.626240010243799e-12,-3.3802654027836693e-09
lopez,1.7,29.52,-0.9117996327775441,3.4222118770276197e-12,0.9999999999950183,1.0000000050765647,-3.120592459627276e-12,4.542640462022029e-12,-3.3361728959389946e-09
lopez,1.7,29.54,-0.9117996327776796,3.3603656749285245e-12,0.9999999999951084,1.0000000050102775,-3.0642011155492754e-12,4.460551690535903e-12,-3.2926555502172713e-09
lopez,1.7,29.560000000000002,-0.9117996327778128,3.299637059373358e-12,0.9999999999951967,1.0000000049448547,-3.008828786462832e-12,4.379946297219812e-12,-3.249705843781197e-09
lopez,1.7,29.580000000000002,-0.9117996327779436,3.2400058348174445e-12,0.9999999999952836,1.0000000048802855,-2.9544570580779638e-12,4.300797476427172e-12,-3.207316372300844e-09
lopez,1.7,29.6,-0.9117996327780721,3.1814522414922725e-12,0.9999999999953688,1.0000000048165585,-2.9010679134453e-12,4.223079000919263e-12,-3.165479846875865e-09
lopez,1.7,29.62,-0.9117996327781981,3.1239566885345554e-12,0.9999999999954525,1.0000000047536628,-2.8486434896231386e-12,4.146764867646097e-12,-3.1241890234688587e-09
lopez,1.7,29.64,-0.911799632778322,3.067500171624292e-12,0.9999999999955348,1.0000000046915873,-2.7971664584797123e-12,4.071829852079493e-12,-3.0834368148528423e-09
lopez,1.7,29.66,-0.9117996327784436,3.0120638474097015e-12,0.9999999999956153,1.0000000046303217,-2.746619638654063e-12,3.998248943345186e-12,-3.0432161771358355e-09
lopez,1.7,29.68,-0.9117996327785629,2.9576292803187836e-12,0.9999999999956946,1.0000000045698552,-2.6969862205986197e-12,3.925997671817029e-12,-3.0035201764666678e-09
lopez,1.7,29.7,-0.9117996327786801,2.9041784325793305e-12,0.9999999999957724,1.0000000045101773,-2.648249757479533e-12,3.855052095870509e-12,-2.964341987089258e-09
lopez,1.7,29.72,-0.9117996327787953,2.851693420604834e-12,0.9999999999958488,1.000000004451278,-2.6003939430494265e-12,3.785388478532554e-12,-2.9256748252598255e-09
lopez,1.7,29.740000000000002,-0.9117996327789085,2.8001568962368225e-12,0.9999999999959237,1.0000000043931472,-2.553402959263977e-12,3.716983793506372e-12,-2.8875120540811043e-09
lopez,1.7,29.76,-0.9117996327790194,2.749551658257241e-12,0.9999999999959975,1.0000000043357742,-2.507261122059064e-12,3.649815209529916e-12,-2.849847077237302e-09
lopez,1.7,29.78,-0.9117996327791283,2.6998608776911734e-12,0.9999999999960698,1.0000000042791497,-2.461953086781753e-12,3.5838603894212973e-12,-2.8126734014613082e-09
lopez,1.7,29.8,-0.9117996327792354,2.6510680886966145e-12,0.9999999999961409,1.000000004223264,-2.417463839883539e-12,3.5190974779867363e-12,-2.7759846347126344e-09
lopez,1.7,29.82,-0.9117996327793404,2.6031569661805012e-12,0.9999999999962106,1.0000000041681072,-2.3737784961507473e-12,3.455504806849222e-12,-2.7397744242935875e-09
lopez,1.7,29.84,-0.9117996327794436,2.5561116738170924e-12,0.9999999999962791,1.0000000041136698,-2.330882616027565e-12,3.3930613563750297e-12,-2.704036555022219e-09
lopez,1.7,29.86,-0.9117996327795449,2.5099165094156833e-12,0.9999999999963464,1.0000000040599426,-2.2887618822624583e-12,3.3317462849685297e-12,-2.668764849719441e-09
lopez,1.7,29.88,-0.9117996327796444,2.464556110589015e-12,0.9999999999964123,1.0000000040069164,-2.247402287436547e-12,3.2715392020568908e-12,-2.6339532277070526e-09
