Tw,method,N,F,G,H,Fz,Gz,rho,T,velocity_error,derivative_error,density_error,temperature_excess_error
1.01,trapezoid,4001,0.006778335821061233,0.0009263455021666331,0.0007132371404574052,0.006481330387488712,0.005427777992207001,0.0010025709240569138,0.3070141869251809,0.006778335821061233,0.006481330387488712,0.0010025709240569138,0.3070141869251809
1.01,simpson,4001,0.006778335818665005,0.0009263455018476729,0.0007132371402023462,0.006481348834418531,0.005427789741693456,0.0010025708394197153,0.30701404191676734,0.006778335818665005,0.006481348834418531,0.0010025708394197153,0.30701404191676734
1.01,trapezoid,8001,0.006778335820612035,0.0009263455021068104,0.0007132371404057862,0.006481344220474473,0.005427786795247483,0.0010025708605304752,0.3070140781543824,0.006778335820612035,0.006481344220474473,0.0010025708605304752,0.3070140781543824
1.01,simpson,8001,0.006778335820462302,0.0009263455020868696,0.00071323714038858,0.006481348831612799,0.0054277897295912,0.0010025708393549947,0.30701404189747533,0.006778335820462302,0.006481348831612799,0.0010025708393549947,0.30701404189747533
1.01,trapezoid,16001,0.006778335820583951,0.000926345502103072,0.0007132371404016115,0.006481347678685643,0.0054277889954260005,0.0010025708446458315,0.3070140509607957,0.006778335820583951,0.006481347678685643,0.0010025708446458315,0.3070140509607957
1.01,simpson,16001,0.00677833582057459,0.0009263455021018258,0.0007132371404002199,0.006481348831431643,0.005427789728818645,0.0010025708393509502,0.30701404189626835,0.00677833582057459,0.006481348831431643,0.0010025708393509502,0.30701404189626835
1.01,trapezoid,32001,0.006778335820582197,0.0009263455021028384,0.0007132371404011135,0.006481348543236473,0.005427789545434943,0.001002570840674482,0.30701404416234324,0.006778335820582197,0.006481348543236473,0.001002570840674482,0.30701404416234324
1.01,simpson,32001,0.006778335820581611,0.0009263455021027607,0.0007132371404009474,0.006481348831420642,0.0054277897287712444,0.001002570839350699,0.3070140418961925,0.006778335820581611,0.006481348831420642,0.001002570839350699,0.3070140418961925
1.02,adaptive_cubic,0,0.011170949714069095,0.0015243441099957553,0.001456031323816725,0.011118883811492595,0.009246130796845047,0.0009938983113303222,0.18479909818540294,0.011170949714069095,0.011118883811492595,0.0009938983113303222,0.18479909818540294
1.02,adaptive_pchip,0,0.011170951062512964,0.0015243439884530861,0.0014560311031839666,0.011118887093170613,0.009246103195166947,0.0009938983103723552,0.18479909803641714,0.011170951062512964,0.011118887093170613,0.0009938983103723552,0.18479909803641714
1.02,trapezoid,251,0.011170943125781145,0.001524344173949937,0.00145603134059565,0.011137417044055013,0.00924491345964146,0.0009939849389964195,0.1848042676543248,0.011170943125781145,0.011137417044055013,0.0009939849389964195,0.1848042676543248
1.02,simpson,251,0.011170976666116612,0.001524343952824927,0.0014560313069359233,0.011118944604841056,0.009246101835704235,0.0009939027644990518,0.184799859100308,0.011170976666116612,0.011118944604841056,0.0009939027644990518,0.184799859100308
1.02,trapezoid,501,0.011170949411512513,0.00152434412993863,0.0014560313369647896,0.01112355038973025,0.009245824934704416,0.000993920179418897,0.18480042646426695,0.011170949411512513,0.01112355038973025,0.000993920179418897,0.18480042646426695
1.02,simpson,501,0.01117095150674769,0.0015243441152681938,0.0014560313357545028,0.011118886792925758,0.00924612874049705,0.0009938985919534136,0.184799146124015,0.01117095150674769,0.011118886792925758,0.0009938985919534136,0.184799146124015
1.02,trapezoid,1001,0.011170949806887624,0.0015243441271026096,0.001456031336525322,0.011120052399103181,0.009246053983203202,0.0009939037916070741,0.18479943250875744,0.011170949806887624,0.011120052399103181,0.0009939037916070741,0.18479943250875744
1.02,simpson,1001,0.011170949938679295,0.0015243441261572697,0.0014560313363788325,0.01111888379047641,0.009246130331480201,0.0009938983289429618,0.18479910119387027,0.011170949938679295,0.01111888379047641,0.0009938983289429618,0.18479910119387027
1.02,trapezoid,2001,0.011170949721225077,0.0015243441109229596,0.001456031324631777,0.01111917617818801,0.009246111742950903,0.000993899682218529,0.18479918190564504,0.011170949721225077,0.01111917617818801,0.000993899682218529,0.18479918190564504
1.02,simpson,2001,0.011170949692670896,0.0015243441055297427,0.0014560313206672618,0.011118883940963336,0.009246130996122244,0.0009938983124185637,0.1847990983715016,0.011170949692670896,0.011118883940963336,0.0009938983124185637,0.1847990983715016
1.02,trapezoid,4001,0.011170949715859925,0.0015243441099123264,0.0014560313238645203,0.011118956912831424,0.009246126043165118,0.0009938986541038117,0.18479911912421665,0.011170949715859925,0.011118956912831424,0.0009938986541038117,0.18479911912421665
1.02,simpson,4001,0.011170949714071541,0.001524344109575449,0.0014560313236087682,0.01111888381414436,0.009246130809898412,0.0009938983113986692,0.18479909819708806,0.011170949714071541,0.01111888381414436,0.0009938983113986692,0.18479909819708806
1.02,trapezoid,8001,0.011170949715524743,0.0015243441098491402,0.0014560313238105359,0.011118902083435958,0.009246129609707776,0.0009938983970271772,0.18479910342069877,0.011170949715524743,0.011118902083435958,0.0009938983970271772,0.18479910342069877
1.02,simpson,8001,0.011170949715413016,0.0015243441098280782,0.0014560313237925412,0.011118883806330955,0.00924613079855503,0.000993898311334951,0.1847990981861937,0.011170949715413016,0.011118883806330955,0.000993898311334951,0.1847990981861937
1.02,trapezoid,16001,0.011170949715503782,0.0015243441098451928,0.001456031323805654,0.011118888375265784,0.009246130500797962,0.0009938983327550204,0.18479909949430837,0.011170949715503782,0.011118888375265784,0.0009938983327550204,0.18479909949430837
1.02,simpson,16001,0.011170949715496797,0.0015243441098438768,0.0014560313238040266,0.011118883805835733,0.009246130797828005,0.000993898311330967,0.18479909818551157,0.011170949715496797,0.011118883805835733,0.000993898311330967,0.18479909818551157
1.02,trapezoid,32001,0.011170949715502471,0.0015243441098449465,0.0014560313238049724,0.011118884948172153,0.009246130723537055,0.000993898316686793,0.18479909851267937,0.011170949715502471,0.011118884948172153,0.000993898316686793,0.18479909851267937
1.02,simpson,32001,0.011170949715502034,0.0015243441098448645,0.0014560313238047454,0.011118883805805108,0.009246130797783416,0.0009938983113307169,0.1847990981854697,0.011170949715502034,0.011118883805805108,0.0009938983113307169,0.1847990981854697
1.03,adaptive_cubic,0,0.01552224159987403,0.0021182741704600444,0.002191655535468211,0.015702232538109984,0.013035233652136404,0.000986995547526851,0.1369442069212751,0.01552224159987403,0.015702232538109984,0.000986995547526851,0.1369442069212751
1.03,adaptive_pchip,0,0.015522242176784993,0.002118274048805643,0.00219165529200557,0.015702239495171792,0.013035204467794772,0.000986995547496768,0.13694420693621112,0.015522242176784993,0.015702239495171792,0.000986995547496768,0.13694420693621112
1.03,trapezoid,251,0.015522225764992313,0.0021182741468374743,0.0021916555537517387,0.015743913625048837,0.013036234765781897,0.000987197121186659,0.13694179649451887,0.015522225764992313,0.015743913625048837,0.000987197121186659,0.13694179649451887
1.03,simpson,251,0.015522304401693504,0.002118274379990761,0.0021916555060644237,0.015702761475138275,0.013035163909515231,0.0009870001077250533,0.1369447092650335,0.015522304401693504,0.015702761475138275,0.0009870001077250533,0.1369447092650335
