branch,label,collocation_points,rank,real,imag,oscillation_frequency_over_Omega,period_Omega_t
2,middle,61,7,-0.09276956295942332,0.0,0.0,nan
2,middle,61,8,-0.17455471624161817,0.0,0.0,nan
2,middle,61,9,-0.20156977350981503,0.08453504122198315,0.08453504122198315,74.32640022828377
2,middle,61,10,-0.20156977350981503,-0.08453504122198315,0.08453504122198315,74.32640022828377
2,middle,61,11,-0.2327723768398025,0.2665314989794842,0.2665314989794842,23.57389400966534
2,middle,61,12,-0.2327723768398025,-0.2665314989794842,0.2665314989794842,23.57389400966534
2,middle,61,13,-0.2645679258481816,0.0,0.0,nan
2,middle,61,14,-0.39071516010427443,0.0,0.0,nan
2,middle,61,15,-0.466201721187407,0.06092001643228693,0.06092001643228693,103.13827334835662
2,middle,61,16,-0.466201721187407,-0.06092001643228693,0.06092001643228693,103.13827334835662
2,middle,61,17,-0.48154392188710127,0.3326702815128892,0.3326702815128892,18.887125350077735
2,middle,61,18,-0.48154392188710127,-0.3326702815128892,0.3326702815128892,18.887125350077735
2,middle,61,19,-0.5278954234325766,0.0,0.0,nan
2,middle,61,20,-0.7202477465215873,0.0,0.0,nan
2,middle,81,1,0.002866443812817791,0.0,0.0,nan
2,middle,81,2,-0.04039466573713312,0.0,0.0,nan
2,middle,81,3,-0.06666329871926843,0.11155132283739469,0.11155132283739469,56.325511409115364
2,middle,81,4,-0.06666329871926843,-0.11155132283739469,0.11155132283739469,56.325511409115364
2,middle,81,5,-0.07529467383487835,0.20887328032225988,0.20887328032225988,30.081326330900637
2,middle,81,6,-0.07529467383487835,-0.20887328032225988,0.20887328032225988,30.081326330900637
2,middle,81,7,-0.09276956253797654,0.0,0.0,nan
2,middle,81,8,-0.17455471585532698,0.0,0.0,nan
2,middle,81,9,-0.20156977341074644,0.08453504145276676,0.08453504145276676,74.3264000253701
2,middle,81,10,-0.20156977341074644,-0.08453504145276676,0.08453504145276676,74.3264000253701
2,middle,81,11,-0.23277237550101834,0.266531497851703,0.266531497851703,23.57389410941413
2,middle,81,12,-0.23277237550101834,-0.266531497851703,0.266531497851703,23.57389410941413
2,middle,81,13,-0.26456792628723874,0.0,0.0,nan
2,middle,81,14,-0.39071515999140805,0.0,0.0,nan
2,middle,81,15,-0.4662017213642149,0.0609200161339907,0.0609200161339907,103.1382738533755
2,middle,81,16,-0.4662017213642149,-0.0609200161339907,0.0609200161339907,103.1382738533755
2,middle,81,17,-0.48154392061891016,0.3326702789402076,0.3326702789402076,18.887125496139955
2,middle,81,18,-0.48154392061891016,-0.3326702789402076,0.3326702789402076,18.887125496139955
2,middle,81,19,-0.5278954232474254,0.0,0.0,nan
2,middle,81,20,-0.7202477452815474,0.0,0.0,nan
2,middle,101,1,0.0028664436151874485,0.0,0.0,nan
2,middle,101,2,-0.040394665808548405,0.0,0.0,nan
2,middle,101,3,-0.06666329649258208,0.11155132382433791,0.11155132382433791,56.325510910778995
2,middle,101,4,-0.06666329649258208,-0.11155132382433791,0.11155132382433791,56.325510910778995
2,middle,101,5,-0.07529467539207924,0.20887327848682222,0.20887327848682222,30.08132659523507
2,middle,101,6,-0.07529467539207924,-0.20887327848682222,0.20887327848682222,30.08132659523507
2,middle,101,7,-0.09276956304352423,0.0,0.0,nan
2,middle,101,8,-0.17455471665449016,0.0,0.0,nan
2,middle,101,9,-0.20156977260511622,0.08453504065015142,0.08453504065015142,74.32640073105982
2,middle,101,10,-0.20156977260511622,-0.08453504065015142,0.08453504065015142,74.32640073105982
2,middle,101,11,-0.232772375940005,0.26653149866322856,0.26653149866322856,23.57389403763718
2,middle,101,12,-0.232772375940005,-0.26653149866322856,0.26653149866322856,23.57389403763718
2,middle,101,13,-0.2645679258674591,0.0,0.0,nan
2,middle,101,14,-0.3907151601981045,0.0,0.0,nan
2,middle,101,15,-0.46620172084149647,0.060920015176234,0.060920015176234,103.13827547486841
2,middle,101,16,-0.46620172084149647,-0.060920015176234,0.060920015176234,103.13827547486841
2,middle,101,17,-0.4815439196469713,0.33267027996190524,0.33267027996190524,18.88712543813378
2,middle,101,18,-0.4815439196469713,-0.33267027996190524,0.33267027996190524,18.88712543813378
2,middle,101,19,-0.5278954231711395,0.0,0.0,nan
2,middle,101,20,-0.7202477469994344,0.0,0.0,nan
2,middle,121,1,0.0028664437780455696,0.0,0.0,nan
2,middle,121,2,-0.04039466578847988,0.0,0.0,nan
2,middle,121,3,-0.06666329728037745,0.11155132331090843,0.11155132331090843,56.32551117002449
2,middle,121,4,-0.06666329728037745,-0.11155132331090843,0.11155132331090843,56.32551117002449
2,middle,121,5,-0.07529467483881572,0.20887327911166317,0.20887327911166317,30.08132650524728
2,middle,121,6,-0.07529467483881572,-0.20887327911166317,0.20887327911166317,30.08132650524728
2,middle,121,7,-0.09276956281312333,0.0,0.0,nan
2,middle,121,8,-0.17455471600917952,0.0,0.0,nan
2,middle,121,9,-0.20156977369149987,0.08453504120921718,0.08453504120921718,74.32640023950809
2,middle,121,10,-0.20156977369149987,-0.08453504120921718,0.08453504120921718,74.32640023950809
2,middle,121,11,-0.23277237590642158,0.26653149869838905,0.26653149869838905,23.573894034527346
2,middle,121,12,-0.23277237590642158,-0.26653149869838905,0.26653149869838905,23.573894034527346
2,middle,121,13,-0.2645679258681901,0.0,0.0,nan
2,middle,121,14,-0.3907151600107761,0.0,0.0,nan
2,middle,121,15,-0.46620172114556313,0.06092001637286565,0.06092001637286565,103.13827344895752
2,middle,121,16,-0.46620172114556313,-0.06092001637286565,0.06092001637286565,103.13827344895752
2,middle,121,17,-0.48154392113589195,0.33267028024878387,0.33267028024878387,18.88712542184644
2,middle,121,18,-0.48154392113589195,-0.33267028024878387,0.33267028024878387,18.88712542184644
2,middle,121,19,-0.5278954234431232,0.0,0.0,nan
2,middle,121,20,-0.720247746485078,0.0,0.0,nan
3,principal / isothermal-connected,61,1,-0.004283674184121236,0.0,0.0,nan
3,principal / isothermal-connected,61,2,-0.04701904578403155,0.20331899934944853,0.20331899934944853,30.90308986018836
3,principal / isothermal-connected,61,3,-0.04701904578403155,-0.20331899934944853,0.20331899934944853,30.90308986018836
3,principal / isothermal-connected,61,4,-0.06908849962214995,0.0,0.0,nan
3,principal / isothermal-connected,61,5,-0.10006311026433395,0.0,0.0,nan
3,principal / isothermal-connected,61,6,-0.10183045137528436,0.36570260444145386,0.36570260444145386,17.181133606570953
3,principal / isothermal-connected,61,7,-0.10183045137528436,-0.36570260444145386,0.36570260444145386,17.181133606570953
3,principal / isothermal-connected,61,8,-0.17699509449828768,0.0,0.0,nan
3,principal / isothermal-connected,61,9,-0.21214772210692212,0.12594814521078082,0.12594814521078082,49.887080882885144
3,principal / isothermal-connected,61,10,-0.21214772210692212,-0.12594814521078082,0.12594814521078082,49.887080882885144
3,principal / isothermal-connected,61,11,-0.24834295039870227,0.45810650216676724,0.45810650216676724,13.71555583136491
3,principal / isothermal-connected,61,12,-0.24834295039870227,-0.45810650216676724,0.45810650216676724,13.71555583136491
3,principal / isothermal-connected,61,13,-0.27511722587470727,0.0,0.0,nan
3,principal / isothermal-connected,61,14,-0.40154015274338606,0.0,0.0,nan
3,principal / isothermal-connected,61,15,-0.47902542959830163,0.08843129064958506,0.08843129064958506,71.05160697107917
3,principal / isothermal-connected,61,16,-0.47902542959830163,-0.08843129064958506,0.08843129064958506,71.05160697107917
3,principal / isothermal-connected,61,17,-0.483762549085128,0.5359110544180192,0.5359110544180192,11.724306217200365
3,principal / isothermal-connected,61,18,-0.483762549085128,-0.5359110544180192,0.5359110544180192,11.724306217200365
3,principal / isothermal-connected,61,19,-0.5493257531051564,0.0,0.0,nan
3,principal / isothermal-connected,61,20,-0.7333438518828924,0.0,0.0,nan
3,principal / isothermal-connected,81,1,-0.004283674312207068,0.0,0.0,nan
3,principal / isothermal-connected,81,2,-0.04701904526515616,0.20331899827135938,0.20331899827135938,30.903090024050496
3,principal / isothermal-connected,81,3,-0.04701904526515616,-0.20331899827135938,0.20331899827135938,30.903090024050496
3,principal / isothermal-connected,81,4,-0.06908849955775848,0.0,0.0,nan
3,principal / isothermal-connected,81,5,-0.1000631101901028,0.0,0.0,nan
3,principal / isothermal-connected,81,6,-0.10183045187104234,0.3657026053144079,0.3657026053144079,17.181133565558557
3,principal / isothermal-connected,81,7,-0.10183045187104234,-0.3657026053144079,0.3657026053144079,17.181133565558557
3,principal / isothermal-connected,81,8,-0.17699509442156036,0.0,0.0,nan
3,principal / isothermal-connected,81,9,-0.2121477215720723,0.12594814491852144,0.12594814491852144,49.887080998646816
3,principal / isothermal-connected,81,10,-0.2121477215720723,-0.12594814491852144,0.12594814491852144,49.887080998646816
3,principal / isothermal-connected,81,11,-0.24834295072035656,0.45810650052728874,0.45810650052728874,13.71555588045035
3,principal / isothermal-connected,81,12,-0.24834295072035656,-0.45810650052728874,0.45810650052728874,13.71555588045035
3,principal / isothermal-connected,81,13,-0.27511722581996867,0.0,0.0,nan
3,principal / isothermal-connected,81,14,-0.4015401524934663,0.0,0.0,nan
3,principal / isothermal-connected,81,15,-0.47902542981673735,0.08843129029585838,0.08843129029585838,71.05160725528683
3,principal / isothermal-connected,81,16,-0.47902542981673735,-0.08843129029585838,0.08843129029585838,71.05160725528683
3,principal / isothermal-connected,81,17,-0.48376254623854964,0.5359110523511802,0.5359110523511802,11.724306262417297
3,principal / isothermal-connected,81,18,-0.48376254623854964,-0.5359110523511802,0.5359110523511802,11.724306262417297
3,principal / isothermal-connected,81,19,-0.5493257528965808,0.0,0.0,nan
3,principal / isothermal-connected,81,20,-0.733343851243306,0.0,0.0,nan
3,principal / isothermal-connected,101,1,-0.004283674425077469,0.0,0.0,nan
3,principal / isothermal-connected,101,2,-0.04701904535221465,0.2033189989930912,0.2033189989930912,30.903089914352222
3,principal / isothermal-connected,101,3,-0.04701904535221465,-0.2033189989930912,0.2033189989930912,30.903089914352222
3,principal / isothermal-connected,101,4,-0.06908849968035237,0.0,0.0,nan
3,principal / isothermal-connected,101,5,-0.10006311036072657,0.0,0.0,nan
3,principal / isothermal-connected,101,6,-0.10183045122867856,0.36570260384073816,0.36570260384073816,17.181133634793273
3,principal / isothermal-connected,101,7,-0.10183045122867856,-0.36570260384073816,0.36570260384073816,17.181133634793273
3,principal / isothermal-connected,101,8,-0.17699509470182545,0.0,0.0,nan
3,principal / isothermal-connected,101,9,-0.2121477210635157,0.12594814460805992,0.12594814460805992,49.88708112161821
3,principal / isothermal-connected,101,10,-0.2121477210635157,-0.12594814460805992,0.12594814460805992,49.88708112161821
3,principal / isothermal-connected,101,11,-0.2483429497566539,0.4581065014128374,0.4581065014128374,13.71555585393732
3,principal / isothermal-connected,101,12,-0.2483429497566539,-0.4581065014128374,0.4581065014128374,13.71555585393732
3,principal / isothermal-connected,101,13,-0.27511722582873777,0.0,0.0,nan
3,principal / isothermal-connected,101,14,-0.4015401527648794,0.0,0.0,nan
3,principal / isothermal-connected,101,15,-0.47902542894181355,0.08843128946500091,0.08843128946500091,71.05160792285324
3,principal / isothermal-connected,101,16,-0.47902542894181355,-0.08843128946500091,0.08843128946500091,71.05160792285324
3,principal / isothermal-connected,101,17,-0.4837625481727914,0.5359110522459551,0.5359110522459551,11.724306264719342
3,principal / isothermal-connected,101,18,-0.4837625481727914,-0.5359110522459551,0.5359110522459551,11.724306264719342
3,principal / isothermal-connected,101,19,-0.5493257529397856,0.0,0.0,nan
3,principal / isothermal-connected,101,20,-0.7333438521158857,0.0,0.0,nan
3,principal / isothermal-connected,121,1,-0.00428367417919217,0.0,0.0,nan
3,principal / isothermal-connected,121,2,-0.047019045693861575,0.20331899901770437,0.20331899901770437,30.90308991061119
3,principal / isothermal-connected,121,3,-0.047019045693861575,-0.20331899901770437,0.20331899901770437,30.90308991061119
3,principal / isothermal-connected,121,4,-0.06908849960628724,0.0,0.0,nan
3,principal / isothermal-connected,121,5,-0.10006311022536293,0.0,0.0,nan
3,principal / isothermal-connected,121,6,-0.10183045065270319,0.3657026043269065,0.3657026043269065,17.18113361195252
3,principal / isothermal-connected,121,7,-0.10183045065270319,-0.3657026043269065,0.3657026043269065,17.18113361195252
3,principal / isothermal-connected,121,8,-0.17699509444142578,0.0,0.0,nan
3,principal / isothermal-connected,121,9,-0.21214772196434012,0.12594814465974577,0.12594814465974577,49.887081101145846
3,principal / isothermal-connected,121,10,-0.21214772196434012,-0.12594814465974577,0.12594814465974577,49.887081101145846
3,principal / isothermal-connected,121,11,-0.248342949782303,0.4581065024232897,0.4581065024232897,13.715555823684713
3,principal / isothermal-connected,121,12,-0.248342949782303,-0.4581065024232897,0.4581065024232897,13.715555823684713
3,principal / isothermal-connected,121,13,-0.27511722579171277,0.0,0.0,nan
3,principal / isothermal-connected,121,14,-0.4015401526537805,0.0,0.0,nan
3,principal / isothermal-connected,121,15,-0.4790254298262379,0.08843129020681618,0.08843129020681618,71.05160732682927
3,principal / isothermal-connected,121,16,-0.4790254298262379,-0.08843129020681618,0.08843129020681618,71.05160732682927
3,principal / isothermal-connected,121,17,-0.4837625488802332,0.535911053421214,0.535911053421214,11.724306239007808
3,principal / isothermal-connected,121,18,-0.4837625488802332,-0.535911053421214,0.535911053421214,11.724306239007808
3,principal / isothermal-connected,121,19,-0.5493257530533371,0.0,0.0,nan
3,principal / isothermal-connected,121,20,-0.7333438518070482,0.0,0.0,nan
