model,Tw,z,H,F,G,T,Fp,Gp,Tp
traditional,1.04,38.76,-0.6929749926901225,-6.522665074974202e-10,0.999999999999078,1.0000000000793352,7.508248515263646e-10,1.1084076964920264e-12,-8.57996159624237e-11
traditional,1.04,38.78,-0.692974992664331,-6.373379108419496e-10,0.9999999999990999,1.0000000000776277,7.420493035615467e-10,1.093151682674823e-12,-8.494769295884431e-11
traditional,1.04,38.800000000000004,-0.6929749926391332,-6.225839558021739e-10,0.9999999999991216,1.000000000075937,7.333607981904067e-10,1.0781056569431728e-12,-8.410422900557404e-11
traditional,1.04,38.82,-0.692974992614522,-6.08002904419511e-10,0.999999999999143,1.0000000000742635,7.247584719484638e-10,1.0632667157833786e-12,-8.3269139832908e-11
traditional,1.04,38.84,-0.6929749925904907,-5.935930473597835e-10,0.999999999999164,1.0000000000726064,7.162414720357457e-10,1.0486320219863453e-12,-8.244234256112303e-11
traditional,1.04,38.86,-0.6929749925670322,-5.793526832705582e-10,0.999999999999185,1.0000000000709657,7.07808947470794e-10,1.0341987566483233e-12,-8.162375469626249e-11
traditional,1.04,38.88,-0.6929749925441401,-5.652801310369819e-10,0.9999999999992054,1.0000000000693412,6.994600599900765e-10,1.0199641473324477e-12,-8.081329472540928e-11
traditional,1.04,38.9,-0.6929749925218076,-5.513737294409463e-10,0.9999999999992257,1.0000000000677332,6.911939868588554e-10,1.005925467201946e-12,-8.001088210347655e-11
traditional,1.04,38.92,-0.692974992500028,-5.376318249846789e-10,0.9999999999992457,1.0000000000661409,6.830099045082317e-10,9.920800071360863e-13,-7.921643666215937e-11
traditional,1.04,38.94,-0.6929749924787949,-5.240527914045474e-10,0.9999999999992653,1.0000000000645646,6.74907000006091e-10,9.784251198796095e-13,-7.84298795554861e-11
traditional,1.04,38.96,-0.6929749924581017,-5.106350100306691e-10,0.9999999999992849,1.0000000000630036,6.668844674834669e-10,9.649581752570105e-13,-7.76511323044743e-11
traditional,1.04,38.980000000000004,-0.6929749924379421,-4.973768814285629e-10,0.999999999999304,1.0000000000614582,6.589415086163087e-10,9.516765864487002e-13,-7.688011736343577e-11
traditional,1.04,39.0,-0.6929749924183095,-4.842768251136184e-10,0.9999999999993229,1.0000000000599283,6.510773366192873e-10,9.38577809182188e-13,-7.611675810740723e-11
traditional,1.04,39.02,-0.6929749923991978,-4.713332679910652e-10,0.9999999999993415,1.0000000000584135,6.432911679297927e-10,9.256593157149262e-13,-7.536097826986967e-11
traditional,1.04,39.04,-0.6929749923806008,-4.58544662876634e-10,0.9999999999993598,1.0000000000569138,6.355822317190059e-10,9.129186360278925e-13,-7.461270284227951e-11
traditional,1.04,39.06,-0.6929749923625121,-4.4590946975850925e-10,0.9999999999993782,1.0000000000554288,6.279497622815049e-10,9.003533160383122e-13,-7.387185716522098e-11
traditional,1.04,39.08,-0.6929749923449259,-4.33426166869218e-10,0.9999999999993959,1.0000000000539588,6.20393003943914e-10,8.879609421166103e-13,-7.31383674671495e-11
traditional,1.04,39.1,-0.6929749923278361,-4.2109325052855336e-10,0.9999999999994136,1.0000000000525033,6.129112017520926e-10,8.757391403317216e-13,-7.241216085243271e-11
traditional,1.04,39.12,-0.6929749923112365,-4.0890922411199426e-10,0.999999999999431,1.0000000000510625,6.05503610072496e-10,8.636855521758631e-13,-7.169316476643888e-11
traditional,1.04,39.14,-0.6929749922951213,-3.9687261564658916e-10,0.9999999999994482,1.0000000000496354,5.981694982346929e-10,8.517978730000951e-13,-7.098130785128408e-11
traditional,1.04,39.160000000000004,-0.6929749922794848,-3.8498195998390166e-10,0.9999999999994651,1.000000000048223,5.909081335870972e-10,8.400738130248057e-13,-7.027651908122194e-11
traditional,1.04,39.18,-0.6929749922643209,-3.7323580940234267e-10,0.9999999999994817,1.0000000000468248,5.837187951031611e-10,8.285111202151951e-13,-6.95787282751636e-11
traditional,1.04,39.2,-0.692974992249624,-3.616327333187192e-10,0.9999999999994982,1.0000000000454399,5.76600772742752e-10,8.171075795771185e-13,-6.888786608530218e-11
traditional,1.04,39.22,-0.6929749922353884,-3.501713078186603e-10,0.9999999999995144,1.000000000044069,5.695533560062255e-10,8.058609905071078e-13,-6.820386348823483e-11
traditional,1.04,39.24,-0.6929749922216084,-3.388501324424155e-10,0.9999999999995305,1.0000000000427116,5.625758465402579e-10,7.947692026546421e-13,-6.752665259906098e-11
traditional,1.04,39.26,-0.6929749922082786,-3.2766781324613334e-10,0.9999999999995463,1.000000000041368,5.556675523148807e-10,7.838300795430197e-13,-6.685616584885265e-11
traditional,1.04,39.28,-0.6929749921953932,-3.1662297282871335e-10,0.9999999999995617,1.0000000000400375,5.488277839675495e-10,7.730415199132762e-13,-6.619233647222907e-11
traditional,1.04,39.300000000000004,-0.6929749921829469,-3.057142501332123e-10,0.9999999999995771,1.0000000000387201,5.420558644249414e-10,7.624014570672258e-13,-6.5535098496537e-11
traditional,1.04,39.32,-0.6929749921709343,-2.9494029046770443e-10,0.9999999999995922,1.0000000000374158,5.353511187292042e-10,7.519078377338739e-13,-6.488438625773768e-11
traditional,1.04,39.34,-0.69297499215935,-2.8429976145522407e-10,0.9999999999996072,1.0000000000361247,5.287128820221116e-10,7.415586555306919e-13,-6.424013517488393e-11
traditional,1.04,39.36,-0.6929749921481885,-2.737913369012273e-10,0.999999999999622,1.0000000000348461,5.221404946247222e-10,7.313519170201038e-13,-6.360228096762283e-11
traditional,1.04,39.38,-0.6929749921374448,-2.634137063292819e-10,0.9999999999996365,1.0000000000335805,5.156333061562977e-10,7.212856616244157e-13,-6.297076012004013e-11
traditional,1.04,39.4,-0.6929749921271137,-2.5316557483452174e-10,0.9999999999996508,1.0000000000323273,5.091906684639157e-10,7.113579610128328e-13,-6.234550987036728e-11
traditional,1.04,39.42,-0.6929749921171897,-2.4304565358540983e-10,0.9999999999996649,1.0000000000310867,5.028119379543306e-10,7.015668993827781e-13,-6.172646775042908e-11
traditional,1.04,39.44,-0.6929749921076682,-2.330526749810403e-10,0.9999999999996789,1.0000000000298583,4.964964833800009e-10,6.919106046809395e-13,-6.111357232242947e-11
traditional,1.04,39.46,-0.692974992098544,-2.2318537729947856e-10,0.9999999999996927,1.000000000028642,4.902436752081877e-10,6.823872169322508e-13,-6.050676243453503e-11
traditional,1.04,39.480000000000004,-0.692974992089812,-2.1344251382466576e-10,0.9999999999997062,1.0000000000274378,4.840528936464771e-10,6.729949068215513e-13,-5.99059776621473e-11
traditional,1.04,39.5,-0.692974992081467,-2.03822852603133e-10,0.9999999999997196,1.000000000026246,4.779235269224751e-10,6.637318751216073e-13,-5.931115829810844e-11
traditional,1.04,39.52,-0.6929749920735043,-1.9432516740436298e-10,0.9999999999997328,1.0000000000250655,4.718549646671785e-10,6.545963342946289e-13,-5.872224491456505e-11
traditional,1.04,39.54,-0.6929749920659193,-1.8494825219785467e-10,0.9999999999997458,1.0000000000238969,4.658466033335426e-10,6.455865376230366e-13,-5.813917906389433e-11
traditional,1.04,39.56,-0.6929749920587068,-1.7569090658791964e-10,0.9999999999997586,1.00000000002274,4.598978430492506e-10,6.367007496588473e-13,-5.756190257051837e-11
traditional,1.04,39.58,-0.6929749920518624,-1.6655194443649625e-10,0.9999999999997711,1.0000000000215945,4.5400809666893843e-10,6.279372635612774e-13,-5.699035795069993e-11
traditional,1.04,39.6,-0.6929749920453812,-1.5753019367046923e-10,0.9999999999997836,1.0000000000204603,4.481767782773909e-10,6.192944005630434e-13,-5.6424488403223837e-11
traditional,1.04,39.62,-0.6929749920392585,-1.4862448772160635e-10,0.9999999999997959,1.0000000000193374,4.424033039414171e-10,6.107704928037066e-13,-5.5864237392586974e-11
traditional,1.04,39.64,-0.6929749920334898,-1.3983367923920743e-10,0.999999999999808,1.0000000000182254,4.3668710294956e-10,6.023639105100618e-13,-5.530954931580753e-11
traditional,1.04,39.660000000000004,-0.6929749920280703,-1.3115662617669138e-10,0.99999999999982,1.0000000000171247,4.310276082267449e-10,5.940730344240135e-13,-5.476036882870951e-11
traditional,1.04,39.68,-0.6929749920229957,-1.2259220005060638e-10,0.9999999999998319,1.0000000000160352,4.2542425682969053e-10,5.858962719793725e-13,-5.4216641245285e-11
traditional,1.04,39.7,-0.6929749920182614,-1.141392857609227e-10,0.9999999999998435,1.0000000000149563,4.198764941106539e-10,5.778320568039071e-13,-5.367831252883002e-11
traditional,1.04,39.72,-0.692974992013863,-1.0579677340119233e-10,0.9999999999998549,1.000000000013888,4.143837674488515e-10,5.698788327020068e-13,-5.314532889542047e-11
traditional,1.04,39.74,-0.6929749920097962,-9.756357134960707e-11,0.9999999999998663,1.0000000000128304,4.0894553141013926e-10,5.620350790153182e-13,-5.2617637448267825e-11
traditional,1.04,39.76,-0.6929749920060565,-8.943859307132973e-11,0.9999999999998774,1.0000000000117832,4.035612439711309e-10,5.542992848966032e-13,-5.209518553679348e-11
traditional,1.04,39.78,-0.6929749920026397,-8.142076491554698e-11,0.9999999999998884,1.0000000000107465,3.982303732659216e-10,5.466699644034722e-13,-5.1577921136553166e-11
traditional,1.04,39.800000000000004,-0.6929749919995415,-7.350902598512191e-11,0.9999999999998993,1.0000000000097202,3.929523884345022e-10,5.391456560337971e-13,-5.10657928408061e-11
traditional,1.04,39.82,-0.6929749919967576,-6.570232034079111e-11,0.99999999999991,1.000000000008704,3.8772676281431815e-10,5.317249077807271e-13,-5.055874948328786e-11
traditional,1.04,39.84,-0.6929749919942839,-5.799960943926437e-11,0.9999999999999206,1.0000000000076978,3.825529790715385e-10,5.244063007954186e-13,-5.005674074169291e-11
traditional,1.04,39.86,-0.6929749919921162,-5.0399859582269576e-11,0.999999999999931,1.0000000000067018,3.7743051940042253e-10,5.171884253832795e-13,-4.9559716527942674e-11
traditional,1.04,39.88,-0.6929749919902505,-4.2902049418401346e-11,0.9999999999999413,1.0000000000057154,3.723588728965569e-10,5.10069895087163e-13,-4.906762734961897e-11
traditional,1.04,39.9,-0.6929749919886828,-3.550516963948472e-11,0.9999999999999514,1.0000000000047389,3.673375427942902e-10,5.030493462538883e-13,-4.858042430194367e-11
traditional,1.04,39.92,-0.6929749919874088,-2.8208215620144335e-11,0.9999999999999615,1.000000000003772,3.62366028522972e-10,4.961254240898234e-13,-4.80980587089104e-11
traditional,1.04,39.94,-0.6929749919864248,-2.1010199286056086e-11,0.9999999999999712,1.0000000000028149,3.5744383514795007e-10,4.892968047394015e-13,-4.7620482697397396e-11
traditional,1.04,39.96,-0.6929749919857267,-1.3910137174387301e-11,0.999999999999981,1.0000000000018672,3.5257047497019937e-10,4.825621728884023e-13,-4.714764861710873e-11
traditional,1.04,39.980000000000004,-0.6929749919853107,-6.9070574978082125e-12,0.9999999999999906,1.000000000000929,3.477454613439685e-10,4.759202349042983e-13,-4.667950938441925e-11
traditional,1.04,40.0,-0.6929749919851727,3.1238891846752067e-28,1.0,1.0,3.4296831652594314e-10,4.693697184317716e-13,-4.621601847474284e-11
traditional,1.045,0.0,-1.1132513769268505e-26,0.0,0.0,1.045,0.48297283301691585,0.5896075898455335,-0.013710749559879954
traditional,1.045,0.02,-0.0001906579686120011,0.00947000600478551,0.011790880277248695,1.044725785071869,0.4641050002560187,0.589417676392527,-0.013710736970882199
traditional,1.045,0.04,-0.0007526306410103366,0.018567270368841444,0.023574260785342385,1.044451571018764,0.4456977162728797,0.5888607989610082,-0.013710649839190561
traditional,1.045,0.06,-0.0016711918052171486,0.027300946427377123,0.03534299106202994,1.044177360054874,0.427745193497233,0.5879557226863015,-0.013710416317108289
traditional,1.045,0.08,-0.002931979048094691,0.035680070393145046,0.04709028903133924,1.0439031558024319,0.41024150934556963,0.5867205248481211,-0.01370996743666814
traditional,1.045,0.1,-0.00452098901818532,0.04371355878202662,0.058809727464328866,1.043628963234754,0.39318061871626564,0.585172616516844,-0.013709237047062662
traditional,1.045,0.12,-0.006424572591367927,0.051410206083037396,0.07049522086627885,1.0433547886204952,0.37655636597100167,0.5833287634786847,-0.013708161755712114
traditional,1.045,0.14,-0.008629429949683794,0.058778682662270085,0.08214101277686797,1.0430806394690546,0.36036249641590223,0.5812051064749649,-0.013706680872550298
traditional,1.045,0.16,-0.011122605575618777,0.06582753289346316,0.0937416634637316,1.0428065244770501,0.3445926672975442,0.5788171808010808,-0.013704736357083866
traditional,1.045,0.18,-0.013891483177785501,0.0725651735031409,0.1052920380036223,1.0425324534758322,0.3292404583250252,0.5761799352831802,-0.013702272767920588
traditional,1.045,0.2,-0.01692378055544144,0.07899989212125724,0.11678729473798158,1.0422584373799901,0.3142993817319587,0.573307750663295,-0.013699237214428438
traditional,1.045,0.22,-0.02020754440979472,0.08513984602825271,0.12822287409117358,1.0419844881368068,0.2997628918918429,0.5702144574198675,-0.013695579310222286
traditional,1.045,0.24,-0.023731145110488648,0.09099306108938131,0.13959448774082778,1.041710618676633,0.2856243944999781,0.566913353047343,-0.013691251128207665
traditional,1.045,0.26,-0.027483271418236508,0.09656743087044169,0.15089810812458046,1.0414368428641325,0.2718772553356257,0.5634172188279598,-0.013686207156882065
traditional,1.045,0.28,-0.0314529251772535,0.10187071592400589,0.16212995827881002,1.0411631754503967,0.2585148086160078,0.5597383361058831,-0.013680404257716307
traditional,1.045,0.3,-0.03562941598324416,0.10691054323842103,0.1732865019987549,1.0408896320259042,0.2455303649550573,0.5558885020851768,-0.013673801623402702
traditional,1.045,0.32,-0.040002355812830015,0.11169440585124484,0.18436443429575053,1.040616228974261,0.23291721893945505,0.5518790452011881,-0.013666360736629872
traditional,1.045,0.34,-0.04456165375618997,0.11622966255681147,0.19536067224124065,1.0403429834270377,0.22066865633371524,0.5477208398773683,-0.01365804533024391
traditional,1.045,0.36,-0.04929751047072657,0.12052353787950867,0.20627234590594815,1.0400699132187525,0.20877796092852655,0.5434243212692578,-0.013648821345712202
traditional,1.045,0.38,-0.054200412953229755,0.12458312203370327,0.21709678981955594,1.039797036843442,0.19723842103841643,0.5389994991173002,-0.013638656894242835
traditional,1.045,0.4,-0.05926112916700362,0.12841537107653814,0.22783153459504127,1.0395243734116386,0.18604333567039125,0.5344559714329612,-0.01362752221689116
traditional,1.045,0.42,-0.06447070252814732,0.13202710725586403,0.23847429872570786,1.0392519426078692,0.175186020352654,0.5298029380148616,-0.013615389643549839
traditional,1.045,0.44,-0.06982044680927676,0.13542501927314748,0.24902298091579378,1.0389797646497627,0.16465981268006044,0.5250492130165285,-0.01360223355493316
traditional,1.045,0.46,-0.07530194056132895,0.1386156629005669,0.25947565233295006,1.03870786024697,0.15445807751611826,0.5202032378696946,-0.013588030340628632
traditional,1.045,0.48,-0.08090702195653339,0.1416054615013771,0.26983054937297196,1.038436250561663,0.14457421193789047,0.5152730932945252,-0.013572758359974856
traditional,1.045,0.5,-0.08662778350259763,0.14440070672155367,0.28008606656107365,1.0381649571695217,0.13500164988814953,0.51026651119531,-0.013556397901512258
traditional,1.045,0.52,-0.09245656665172011,0.1470075593445792,0.29024074960982144,1.0378940020213658,0.12573386652743168,0.5051908864082948,-0.013538931141123197
