Tw,model,variable,z,value,d1_dz,d2_dz2
1.0,Boussinesq,F,1.82,0.13232680128708296,-0.0754121217539856,0.0007779175925648474
1.0,Boussinesq,F,1.83,0.13157271897270445,-0.07539950136666196,0.0017450424873111103
1.0,Boussinesq,F,1.84,0.13081881125974973,-0.07537722090423937,0.0026981225131006425
1.0,Boussinesq,F,1.85,0.13006517455461966,-0.07534553891639995,0.0036183027487979302
1.0,Boussinesq,F,1.86,0.12931190048142172,-0.07530485484926341,0.004510347736719211
1.0,Boussinesq,F,1.87,0.1285590774576344,-0.07525533196166556,0.005393202808479103
1.0,Boussinesq,F,1.8800000000000001,0.1278067938421884,-0.07519699079309383,0.0062630019070031295
1.0,Boussinesq,F,1.8900000000000001,0.1270551376417725,-0.0751300719235255,0.007101994725067229
1.0,Boussinesq,F,1.9000000000000001,0.1263041924037179,-0.07505495089859249,0.007914434644451518
1.0,Boussinesq,F,1.9100000000000001,0.12555403862380066,-0.07497178323063647,0.008718155416032047
1.0,Boussinesq,F,1.92,0.12480475673910517,-0.07488058779027185,0.009509753190873216
1.0,Boussinesq,F,1.93,0.12405642686799526,-0.07478158816681901,0.010272538242794838
1.0,Boussinesq,F,1.94,0.12330912497576879,-0.07467513702541595,0.011010292727986482
1.0,Boussinesq,F,1.95,0.12256292412748694,-0.07456138231225928,0.011739783315878327
1.0,Boussinesq,F,1.96,0.1218178973295236,-0.07444034135909838,0.012458030046369473
1.0,Boussinesq,F,1.97,0.12107411730030497,-0.0743122217113319,0.01314936002674294
1.0,Boussinesq,F,1.98,0.12033165289529696,-0.07417735415856352,0.013817122105219681
1.0,Boussinesq,F,1.99,0.1195905702171337,-0.0740358792692275,0.014477060065543057
1.0,Boussinesq,F,2.0,0.1188509353099124,-0.07388781295725266,0.015126581583890797
1.0,Boussinesq,F,2.0100000000000002,0.11811281395798863,-0.07373334763754968,0.01575098728201496
1.0,Boussinesq,F,2.02,0.11737626835716142,-0.07357279321161236,0.016353228613796844
1.0,Boussinesq,F,2.0300000000000002,0.11664135809375638,-0.07340628306527375,0.016948070223898437
1.0,Boussinesq,F,2.04,0.11590814269585593,-0.07323383180713439,0.01753327320881448
1.0,Boussinesq,F,2.05,0.11517668145761373,-0.07305561760109747,0.018095068948431603
1.0,Boussinesq,F,2.06,0.11444703034383398,-0.07287193042816575,0.01863604543590469
1.0,Boussinesq,F,2.07,0.11371924284905041,-0.07268289669237937,0.01917003134015438
1.0,Boussinesq,F,2.08,0.11299337240998639,-0.07248852980136267,0.019695108963802
1.0,Boussinesq,F,2.09,0.11226947225302315,-0.07228899451310333,0.02019839836835402
1.0,Boussinesq,F,2.1,0.11154759251972432,-0.07208456183399559,0.020682156072293623
1.0,Boussinesq,F,2.11,0.11082778101634325,-0.07187535139165746,0.021159317230878827
1.0,Boussinesq,F,2.12,0.11011008549189118,-0.07166137548937801,0.021628255097594362
1.0,Boussinesq,F,2.13,0.10939455350655569,-0.07144278628970557,0.02207693712126302
1.0,Boussinesq,F,2.14,0.10868122976609706,-0.07121983674695276,0.022507318424258127
1.0,Boussinesq,F,2.15,0.10797015677161663,-0.0709926399212204,0.022931482307742
1.0,Boussinesq,F,2.16,0.10726137696767266,-0.07076120710079792,0.023348064627093823
1.0,Boussinesq,F,2.17,0.10655493262960065,-0.07052567862867853,0.023745839797228996
1.0,Boussinesq,F,2.18,0.1058508633950991,-0.07028629030485334,0.02412648976397591
1.0,Boussinesq,F,2.19,0.10514920682350358,-0.07004314883339902,0.024501286739342376
1.0,Boussinesq,F,2.2,0.10445000041843112,-0.06979626457006649,0.024869102683444666
1.0,Boussinesq,F,2.21,0.10375328153210225,-0.06954576677973012,0.02521947950553427
1.0,Boussinesq,F,2.22,0.10305908508283652,-0.06929187497995581,0.02555385238802721
1.0,Boussinesq,F,2.23,0.10236744403250314,-0.06903468973196958,0.025882722249415124
1.0,Boussinesq,F,2.24,0.10167839128819713,-0.06877422053496751,0.026205172445826097
1.0,Boussinesq,F,2.25,0.10099195962180377,-0.06851058628305307,0.026511473925072693
1.0,Boussinesq,F,2.2600000000000002,0.10030817956253607,-0.06824399105646606,0.026802839771544296
1.0,Boussinesq,F,2.27,0.09962707980067446,-0.06797452948762217,0.027089038369432217
1.0,Boussinesq,F,2.2800000000000002,0.09894868897278364,-0.06770221028907741,0.027369341487615273
1.0,Boussinesq,F,2.29,0.09827303559489292,-0.06742714265786987,0.027634711726864936
1.0,Boussinesq,F,2.3000000000000003,0.09760014611962625,-0.06714951605454011,0.027886163051871193
1.0,Boussinesq,F,2.31,0.09693004527380211,-0.06686941939683244,0.028132768982658707
1.0,Boussinesq,F,2.32,0.09626275773168962,-0.06658686067488695,0.028373968374272973
1.0,Boussinesq,F,2.33,0.09559830806030438,-0.06630194002934697,0.028601379209103328
1.0,Boussinesq,F,2.34,0.09493671893110267,-0.06601483309070488,0.02881583769043239
1.0,Boussinesq,F,2.35,0.09427801139849028,-0.06572562327553833,0.029025759010137264
1.0,Boussinesq,F,2.36,0.09362220646559188,-0.06543431791050214,0.029230729367490937
1.0,Boussinesq,F,2.37,0.09296932504028023,-0.0651410086881885,0.029422987007787782
1.0,Boussinesq,F,2.38,0.09231938629182812,-0.06484585817034638,0.02960321017666523
1.0,Boussinesq,F,2.39,0.0916724078768733,-0.0645489444846552,0.02977919110342908
1.0,Boussinesq,F,2.4,0.091028407402135,-0.06425027434827779,0.029950645107356788
1.0,Boussinesq,F,2.41,0.09038740238990774,-0.06394993158250806,0.03011039675331295
1.0,Boussinesq,F,2.42,0.08974940877048485,-0.06364806641321152,0.030258984647346665
1.0,Boussinesq,F,2.43,0.08911444106164351,-0.06334475188956112,0.03040361222899035
1.0,Boussinesq,F,2.44,0.08848251373269363,-0.06303999416863171,0.03054410715357392
1.0,Boussinesq,F,2.45,0.08785364117827088,-0.06273386974648965,0.03067384755985847
1.0,Boussinesq,F,2.46,0.08722783633776383,-0.06242651721743453,0.030793249316696247
1.0,Boussinesq,F,2.47,0.0866051108339222,-0.06211800476015572,0.03090896003179422
1.0,Boussinesq,F,2.48,0.08598547624256071,-0.061808338016798636,0.031020904284861928
1.0,Boussinesq,F,2.49,0.08536894407358621,-0.06149758667445848,0.031122982250231246
1.0,Boussinesq,F,2.5,0.08475552450907155,-0.06118587837179401,0.031215502615111745
1.0,Boussinesq,F,2.5100000000000002,0.08414522650615033,-0.06087327662215625,0.03130458889062382
1.0,Boussinesq,F,2.52,0.08353805897662842,-0.060559786593981535,0.03139024846587857
1.0,Boussinesq,F,2.5300000000000002,0.0829340307742707,-0.06024547165283867,0.0314668732258383
1.0,Boussinesq,F,2.54,0.08233314954357164,-0.05993044912946477,0.0315346789557136
1.0,Boussinesq,F,2.5500000000000003,0.08173542179168139,-0.059614778073724395,0.03159929557643437
1.0,Boussinesq,F,2.56,0.08114085398209717,-0.05929846321793608,0.031660800398736644
1.0,Boussinesq,F,2.57,0.08054945252732269,-0.05898156206574967,0.0317140479052731
1.0,Boussinesq,F,2.58,0.07996122274078216,-0.05866418225983061,0.031759174051559924
1.0,Boussinesq,F,2.59,0.07937616888212609,-0.05834637858471847,0.03180134444802363
1.0,Boussinesq,F,2.6,0.07879429516908779,-0.05802815537087014,0.03184069459476424
1.0,Boussinesq,F,2.61,0.07821560577470868,-0.05770956469282318,0.031872513666519886
1.0,Boussinesq,F,2.62,0.07764010387523132,-0.05739070509753974,0.03189686972129291
1.0,Boussinesq,F,2.63,0.07706779167275787,-0.05707162729839732,0.031918492118809816
1.0,Boussinesq,F,2.64,0.07649867132926337,-0.056752335255163544,0.03193756390416125
1.0,Boussinesq,F,2.65,0.0759327449676546,-0.056432876020314104,0.031949782233420265
1.0,Boussinesq,F,2.66,0.07537001380885709,-0.05611333961049514,0.03195515812750571
1.0,Boussinesq,F,2.67,0.0748104781754447,-0.05579377285776399,0.031958011546318055
