Tw , x_cheb                , F_i                    , G_i                  , minus_G_i             , H_i                    , T_i               , F_c                   , G_c                    , H_c                    , T_c               , rho_c             , dF_c_minus_i           , dG_c_minus_i_raw      , dG_c_minus_minus_Gi   , dH_c_minus_i           , dT_c_minus_i
1.9,  7.083204175167211    , 0.0009958220624984595  , 0.9999805598535477   , -0.9999805598535477   , -1.6447210201132076    , 1.000565364027294 , 0.00845837251876665   , -0.9888416537806842    , -0.9092966182942003    , 1.0509601771864239, 0.9515108390473445, 0.00746255045626819    , -1.988822213634232    , 0.011138906072863497  , 0.7354244018190074     , 0.05039481315912986
1.9,  7.24145393809706     , 0.0008278084141443809  , 0.9999850183948199   , -0.9999850183948199   , -1.6450088060403698    , 1.0004686982287239, 0.007415114345238674  , -0.9902359538585463    , -0.9077920976451472    , 1.0463281982847692, 0.9557230720143887, 0.006587305931094294   , -1.9902209722533661   , 0.009749064536273555  , 0.7372167083952226     , 0.04585950005604533
1.9,  7.4011206027953635   , 0.0006868599956008731  , 0.9999884812550904   , -0.9999884812550904   , -1.6452499547395314    , 1.0003879044973838, 0.006487668728743636  , -0.9914711391332617    , -0.9063010114277524    , 1.0420597394806808, 0.9596378807402716, 0.005800808733142763   , -1.9914596203883521   , 0.008517342121828753  , 0.738948943311779      , 0.04167183498329696
1.9,  7.562243422550641    , 0.000568830746459297   , 0.9999911648455457   , -0.9999911648455457   , -1.6454516757115818    , 1.000320482540481 , 0.005665106980918609  , -0.9925632514320417    , -0.9048372059950666    , 1.0381327383664245, 0.9632679550917265, 0.005096276234459312   , -1.9925544162775874   , 0.007427913413504017  , 0.7406144697165152     , 0.0378122558259435
1.9,  7.724870429142376    , 0.0004701666851502945  , 0.9999932400165439   , -0.9999932400165439   , -1.645620133546429     , 1.0002643048470348, 0.004937189590370047  , -0.9935270667956991    , -0.903411787777621     , 1.0345254879002779, 0.9666267401779027, 0.004467022905219753   , -1.993520306812243    , 0.006466173220844751  , 0.7422083457688081     , 0.034261183053243105
1.9,  7.889058941310238    , 0.00038783110403370943 , 0.9999948412473469   , -0.9999948412473469   , -1.6457605836544302    , 1.0002175659295058, 0.0042944063793556985 , -0.9943761109583702    , -0.9020334625347513    , 1.0312168691771577, 0.9697281240152067, 0.003906575275321989   , -1.9943709522057171   , 0.005618730288976748  , 0.743727121119679      , 0.030999303247651877
1.9,  8.054876068646983    , 0.00031925831689416195 , 0.9999960735766109   , -0.9999960735766109   , -1.6458774574478143    , 1.0001787495891419, 0.0037279673468177694 , -0.9951227296206803    , -0.9007088400400187    , 1.0281864387034823, 0.9725862570809389, 0.003408709029923607   , -1.995118803197291    , 0.004873343955930642  , 0.7451686174077956     , 0.028007689114340373
1.9,  8.222399210791648    , 0.00026223956146194605 , 0.9999970200099811   , -0.9999970200099811   , -1.6459745623044413    , 1.0001465585585663, 0.003229801955667568  , -0.9957781368123362    , -0.8994427340250835    , 1.0254145695228987, 0.9752153223893401, 0.002967562394205622   , -1.9957751568223174   , 0.0042188831976449626 , 0.7465318282793578     , 0.0252680109643324
1.9,  8.391716552200405    , 0.00021491998441419187 , 0.9999977449810885   , -0.9999977449810885   , -1.6460550902070985    , 1.0001199091252133, 0.002792529315518398  , -0.9963524933579176    , -0.8982384201510658    , 1.0228824931208311, 0.977629401935489 , 0.0025776093311042064  , -1.9963502383390062   , 0.0036452516231708643 , 0.7478166700560327     , 0.022762583995617813
1.9,  8.562927553201344    , 0.00017572465978592445 , 0.9999982988724218   , -0.9999982988724218   , -1.6461217470679728    , 1.000097885806412 , 0.002409441433872988  , -0.9968549604357076    , -0.8970978917987865    , 1.0205724027079517, 0.9798422898234701, 0.0022337167740870633  , -1.9968532593081294   , 0.003143338436714105  , 0.7490238552691862     , 0.020474516901539674
1.9,  8.736143438493063    , 0.00014332034854189554 , 0.9999987209506135   , -0.9999987209506135   , -1.6461768201727602    , 1.0000797172731795, 0.0020744525644918175 , -0.997293791916119     , -0.8960220575007958    , 1.0184674203464887, 0.9818674412381242, 0.001931132215949922   , -1.9972925128667325   , 0.0027049290344944854 , 0.7501547626719645     , 0.01838770307330928
1.9,  8.911487684721143    , 0.00011658389271021747 , 0.9999990416879694   , -0.9999990416879694   , -1.646222233806745     , 1.000064756561941 , 0.0017820767733401593 , -0.9976763841216159    , -0.8950109541104685    , 1.0165516803008026, 0.9837178171837709, 0.0016654928806299418  , -1.9976754258095852   , 0.0023226575663535254 , 0.7512112796962764     , 0.016486923738861625
1.9,  9.089096509258187    , 9.45722714274352e-05   , 0.9999992846627818   , -0.9999992846627818   , -1.6462596016477113    , 1.0000524626488958, 0.0015273719731193206 , -0.9980093656972682    , -0.8940638914951095    , 1.0148102607342873, 0.9854058819590856, 0.0014327997016918854  , -1.9980086503600498   , 0.001989918965513593  , 0.7521957101526019     , 0.01475779808539146
1.9,  9.26911936281871     , 7.649070087319933e-05  , 0.9999994681481978   , -0.9999994681481978   , -1.6462902821423233    , 1.000042381291604 , 0.0013059143193819788 , -0.9982986439922182    , -0.8931796276998513    , 1.0132292472789473, 0.9869434806442128, 0.0012294236185087795  , -1.9982981121404162   , 0.0017008241559796078 , 0.753110654442472      , 0.01318686598734331
1.9,  9.451719429057233    , 6.167258172592858e-05  , 0.9999996062405013   , -0.9999996062405013   , -1.6463154134408304    , 1.000034132844853 , 0.0011137376705234745 , -0.9985494946235076    , -0.8923564552998382    , 1.0117956145501292, 0.9883418999049784, 0.001052065088797546   , -1.9985491008640088   , 0.00145011161699371   , 0.7539589581409922     , 0.011761481705276244
1.9,  9.637074134824063    , 4.955910210720558e-05  , 0.9999997097970904   , -0.9999997097970904   , -1.6463359487224554    , 1.0000274000942433, 0.0009473090074961807 , -0.9987666015444425    , -0.891592341234847     , 1.0104972752632113, 0.9896117728170252, 0.000897749905388975   , -1.9987663113415328   , 0.0012331082526478854 , 0.7547436074876084     , 0.010469875168968024
