Tw,z,F_i,G_i,minus_G_i,H_i,T_i,F_c,G_c,H_c,T_c,rho_c,dF_c_minus_i,dG_c_minus_i_raw,dG_c_minus_minus_Gi,dH_c_minus_i,dT_c_minus_i
1.5,6.65,0.0028575526567642118,0.9998613264232425,-0.9998613264232425,-1.4428980730268999,1.0012832729126935,0.00623816124891882,-0.9918027448407644,-0.8901701037898908,1.0228415456222708,0.9776685394526338,0.0033806085921546086,-1.9916640712640068,0.008058581582478186,0.5527279692370091,0.02155827270957733
1.5,6.66,0.0028286630598749157,0.9998633193128721,-0.9998633193128721,-1.4429549347088606,1.0012699846907502,0.006185030077470064,-0.9918733203974216,-0.8901717491708626,1.0227007102563335,0.9778031734713045,0.0033563670175951487,-1.9917366397102936,0.007989998915450491,0.552783185537998,0.02143072556558323
1.5,6.67,0.0028000620325144723,0.9998652835773563,-0.9998652835773563,-1.443011221505139,1.0012568338050847,0.006132331653427202,-0.9919433082649973,-0.890173057550865,1.0225607015307645,0.9779370540086361,0.0033322696209127293,-1.9918085918423536,0.007921975312358942,0.552838163954274,0.021303867725679826
1.5,6.68,0.0027717467678828544,0.9998672196228235,-0.9998672196228235,-1.4430669391134285,1.0012438188531767,0.006080073382256487,-0.992012698616209,-0.8901740255041242,1.0224215355152633,0.9780701650577385,0.0033083266143736326,-1.9918799182390325,0.007854521006614545,0.5528929136093044,0.021177716662086565
1.5,6.69,0.002743714459766789,0.9998691278552826,-0.9998691278552826,-1.4431220932302002,1.0012309384328164,0.006028249079493122,-0.9920815000704887,-0.8901746600952242,1.0222832022384907,0.9782025155165446,0.0032845346197263327,-1.9919506279257713,0.007787627784793916,0.5529474331349761,0.021052263805674265
1.5,6.7,0.002715962307314849,0.9998710086795449,-0.9998710086795449,-1.4431766895406701,1.00121819114469,0.005976850170666843,-0.9921497244783346,-0.8901749701555324,1.0221456870968888,0.9783341187303864,0.003260887863351994,-1.9920207331578794,0.007721284201210321,0.5530017193851378,0.020927495952198782
1.5,6.71,0.0026884875705702315,0.999872862487156,-0.999872862487156,-1.4432307336025243,1.0012055756222031,0.00592588619277851,-0.9922173591251786,-0.890174950823132,1.0220090104608652,0.978464954579079,0.0032373986222082787,-1.9920902216123346,0.0076555033619774004,0.5530557827793923,0.020803434838662094
1.5,6.72,0.0026612875481554802,0.9998746896614179,-0.9998746896614179,-1.4432842308928062,1.0011930905194097,0.005875333287502373,-0.992284436566734,-0.8901746223976748,1.021873128203123,0.9785950646910687,0.003214045739346893,-1.992159126228152,0.007590253094683863,0.5531096084951315,0.020680037683713293
1.5,6.73,0.002634359539302702,0.9998764905855101,-0.9998764905855101,-1.4433371868872924,1.0011807344906867,0.00582521603203615,-0.9923509237055491,-0.8901739687638819,1.021738089797647,0.9787244010821285,0.003190856492733448,-1.9922274142910592,0.0075255668799609765,0.5531632181234105,0.020557355306960234
1.5,6.74,0.0026077008482332433,0.9998782656415225,-0.9998782656415225,-1.4433896070513077,1.0011685061930922,0.005775501583602888,-0.99241686524442,-0.8901730166249251,1.0216038334621886,0.9788530223217998,0.0031678007353696446,-1.9922951308859425,0.0074614003971025245,0.5532165904263826,0.02043532726909647
1.5,6.75,0.002581308837490248,0.9998800151991066,-0.9998800151991066,-1.4434414967282874,1.0011564043148875,0.005726212011835238,-0.9924822314947358,-0.890171751852296,1.0214704039014884,0.9789808849874823,0.00314490317434499,-1.9923622466938424,0.0073977837043708305,0.5532697448759913,0.02031399958660085
1.5,6.76,0.0025551809073619445,0.9998817396200195,-0.9998817396200195,-1.4434928611829247,1.0011444275644492,0.005677324451275602,-0.9925470536118922,-0.8901701933915991,1.0213377583925074,0.9791080294279034,0.0031221435439136576,-1.9924287932319116,0.007334686008127256,0.5533226677913257,0.020193330828058187
1.5,6.7700000000000005,0.002529314458768601,0.9998834392658923,-0.9998834392658923,-1.4435437056786027,1.0011325746504882,0.005628847929854977,-0.9926113195737393,-0.890168336861889,1.0212059164144305,0.9792344363917447,0.003099533471086376,-1.9924947588396316,0.007272119692153023,0.5533753688167137,0.020073341763942265
1.5,6.78,0.0025037068972703354,0.9998851144973644,-0.9998851144973644,-1.4435940354690038,1.0011208442841977,0.00558077412528447,-0.9926750408298521,-0.8901661905006162,1.0210748635744422,0.9793601190997239,0.0030770672280141342,-1.9925601553272165,0.007210073667512251,0.5534278449683876,0.01995401929024454
1.5,6.79,0.002478355684268231,0.9998867656634164,-0.9998867656634164,-1.443643855691339,1.001109235206521,0.00553309795065504,-0.9927382244488345,-0.8901637601574661,1.0209445917763904,0.9794850847488717,0.003054742266386809,-1.992624990112251,0.0071485412145818605,0.5534800955338728,0.019835356569869456
1.5,6.8,0.002453258318079617,0.9998883931054683,-0.9998883931054683,-1.443693171405956,1.0010977461779933,0.0054858249583812834,-0.9928008631109781,-0.8901610440502954,1.0208151137878299,0.9796093205256401,0.0030325666403016663,-1.9926892562164464,0.007087529994490138,0.5535321273556606,0.019717367609836556
1.5,6.8100000000000005,0.0024284122976759672,0.9998899971648129,-0.9998899971648129,-1.4437419876718487,1.001086375959494,0.005438936597223673,-0.9928629820666461,-0.8901580573701309,1.0206863948198732,0.9797328592554387,0.003010524299547706,-1.9927529792314589,0.007027015098166722,0.5535839303017178,0.01960001886037932
1.5,6.82,0.002403815126341161,0.9998915781818399,-0.9998915781818399,-1.4437903095390126,1.0010751233142003,0.005392451669677354,-0.9929245560973167,-0.8901547890546634,1.0205584738218345,0.979855663002977,0.0029886365433361927,-1.9928161342791566,0.006967022084523267,0.5536355204843492,0.019483350507634167
1.5,6.83,0.002379464360808971,0.9998931364860131,-0.9998931364860131,-1.4438381419461752,1.001063987033648,0.005346341569538822,-0.9929856240107234,-0.8901512610335816,1.0204312958750617,0.9799777839452278,0.0029668772087298504,-1.9928787604967364,0.0069075124752896455,0.5536868809125937,0.01936730884141369
1.5,6.84,0.0023553575939066537,0.9998946723995568,-0.9998946723995568,-1.4438854897570563,1.0010529659284504,0.005300629330903131,-0.9930461548833405,-0.890147459508454,1.0203049085028884,0.9800991759094033,0.002945271736996477,-1.9929408272828972,0.00684851751621629,0.5537380302486024,0.019251942574437964
