z,F_chapman,G_chapman,H_chapman,T_chapman,F_sutherland,G_sutherland,H_sutherland,T_sutherland,dF_suth_minus_chap,dG_suth_minus_chap,dH_suth_minus_chap,dT_suth_minus_chap
15.26,3.2078720613736356e-06,-0.9999958301277684,-0.8845531813089812,1.000097601040615,4.303282267570345e-06,-0.9999943888635937,-0.8360167457152486,1.0001204478570218,1.095410206196709e-06,1.4412641746730515e-06,0.04853643559373255,2.28468164067408e-05
15.27,3.1796229903776515e-06,-0.9999958668485784,-0.884552697200792,1.0000969814669154,4.270484668973929e-06,-0.9999944316292905,-0.8360162170121779,1.000119739139863,1.0908616785962779e-06,1.435219287970746e-06,0.04853648018861412,2.275767294768194e-05
15.280000000000001,3.1516311212986504e-06,-0.9999959032350497,-0.8845522161073089,1.0000963659594422,4.237687070377508e-06,-0.9999944743949873,-0.836015688309107,1.0001190304227043,1.0860559490788578e-06,1.4288400623785336e-06,0.048536527798201945,2.266446326215643e-05
15.290000000000001,3.123877293658214e-06,-0.9999959393120886,-0.8845517378124268,1.0000957542248627,4.204889471781093e-06,-0.9999945171606842,-0.8360151596060362,1.0001183217055456,1.0810121781228789e-06,1.4221514044177042e-06,0.04853657820639057,2.2567480682855745e-05
15.3,3.0963761350734387e-06,-0.9999959750606813,-0.8845512624972476,1.0000951465053407,4.172091873184678e-06,-0.9999945599263811,-0.8360146309029655,1.0001176129883866,1.075715738111239e-06,1.4151343001866934e-06,0.04853663159428212,2.2466483045935348e-05
15.31,3.069108866374405e-06,-0.9999960105052385,-0.8845507899484583,1.0000945425116745,4.139294274588262e-06,-0.999994602692078,-0.8360141021998947,1.000116904271228,1.0701854082138575e-06,1.4078131604922106e-06,0.04853668774856357,2.2361759553390925e-05
15.32,3.0420898213640123e-06,-0.9999960456271278,-0.884550320344337,1.0000939424820836,4.106496675991846e-06,-0.9999946454577747,-0.8360135734968239,1.0001161955540692,1.064406854627834e-06,1.4001693531273673e-06,0.04853674684751308,2.225307198555626e-05
15.33,3.015300579733095e-06,-0.9999960804502942,-0.8845498534742368,1.0000933461312997,4.073699077395431e-06,-0.9999946882234716,-0.836013044793753,1.0001154868369104,1.058398497662336e-06,1.3922268226052026e-06,0.04853680868048371,2.214070561068482e-05
15.34,2.988755198059425e-06,-0.9999961149564651,-0.8845493895136075,1.0000927536936348,4.040901478799016e-06,-0.9999947309891685,-0.8360125160906823,1.0001147781197517,1.0521462807395909e-06,1.3839672966531325e-06,0.04853687342292523,2.2024426116873386e-05
15.35,2.9624356065531845e-06,-0.9999961491691299,-0.8845489282548092,1.0000921648881171,4.0081038802026004e-06,-0.9999947737548653,-0.8360119873876115,1.000114069402593,1.045668273649416e-06,1.3754142645927558e-06,0.04853694086719773,2.190451447581232e-05
15.36,2.936355581599662e-06,-0.9999961830703805,-0.8845484698713783,1.0000915799461785,3.975306281606185e-06,-0.9999948165205621,-0.8360114586845407,1.0001133606854342,1.038950700006523e-06,1.3665498184156633e-06,0.04853701118683751,2.178073925573898e-05
15.370000000000001,2.9104974108246154e-06,-0.9999962166832415,-0.8845480141587518,1.00009099859124,3.942508683009764e-06,-0.999994859286259,-0.83601092998147,1.0001126519682755,1.0320112721851485e-06,1.3573969824820509e-06,0.048537084177281864,2.1653377035413257e-05
15.38,2.884874585390562e-06,-0.9999962499901756,-0.8845475612878436,1.00009042105104,3.909711084413349e-06,-0.9999949020519558,-0.8360104012783991,1.0001119432511167,1.0248364990227867e-06,1.3479382197090217e-06,0.048537160009444524,2.1522200076784515e-05
15.39,2.859469743793986e-06,-0.9999962830137512,-0.8845471110565966,1.0000898470527293,3.8769134858169326e-06,-0.9999949448176527,-0.8360098725753283,1.000111234533958,1.0174437420229464e-06,1.3381960984881758e-06,0.04853723848126823,2.1387481228707372e-05
15.4,2.8342961079517415e-06,-0.9999963157367812,-0.8845466636332434,1.0000892768203258,3.844115887220517e-06,-0.9999949875833496,-0.8360093438722576,1.0001105258167993,1.0098197792687757e-06,1.3281534315678911e-06,0.04853731976098585,2.1248996473488546e-05
15.41,2.809336646356417e-06,-0.9999963481814048,-0.8845462188183074,1.000088710084743,3.811318288624102e-06,-0.9999950303490464,-0.8360088151691868,1.0001098170996405,1.0019816422676849e-06,1.3178323584606133e-06,0.048537403649120625,2.1107014897436827e-05
15.42,2.784604326631817e-06,-0.9999963803307657,-0.8845457767778977,1.0000881470669472,3.7785206900276868e-06,-0.9999950731147432,-0.836008286466116,1.0001091083824818,9.939163633958698e-07,1.3072160224281149e-06,0.04853749031178167,2.096131553463998e-05
15.43,2.760082440200787e-06,-0.9999964122065831,-0.8845453373158085,1.0000875875023754,3.7457230914312715e-06,-0.9999951158804401,-0.8360077577630451,1.000108399665323,9.856406512304846e-07,1.2963261429854711e-06,0.04853757955276339,2.081216294769206e-05
15.44,2.735783697135303e-06,-0.9999964437923353,-0.8845449005958972,1.000087031608789,3.7129254928348558e-06,-0.999995158646137,-0.8360072290599744,1.0001076909481643,9.771417956995527e-07,1.2851461983487411e-06,0.04853767153592281,2.065933937522857e-05
15.450000000000001,2.7116917183053626e-06,-0.9999964751093139,-0.884544466424351,1.000086479125175,3.6801278942384346e-06,-0.9999952014118337,-0.8360067003569036,1.0001069822310056,9.68436175933072e-07,1.2736974801530465e-06,0.04853776606744742,2.05031058306826e-05
15.46,2.6878189517703715e-06,-0.9999965061413374,-0.884544034962499,1.0000859302657652,3.6473302956420193e-06,-0.9999952441775306,-0.8360061716538328,1.0001062735138468,9.595113438716478e-07,1.2619638067867811e-06,0.04853786330866616,2.034324808164456e-05
15.47,2.664149341395629e-06,-0.9999965369092773,-0.8845436060189107,1.0000853847730655,3.614532697045604e-06,-0.9999952869432275,-0.8360056429507621,1.000105564796688,9.503833556499751e-07,1.249966049776674e-06,0.048537963068148615,2.0180023622584642e-05
15.48,2.640695088385724e-06,-0.9999965673972733,-0.8845431797525246,1.0000848428579745,3.5817350984491883e-06,-0.9999953297089244,-0.8360051142476912,1.0001048560795294,9.410400100634644e-07,1.2376883489206847e-06,0.048538065504833416,2.0013221554870952e-05
