r,Mr,Umax,z_Umax,Vmin,z_Vmin,Wmin,z_Wmin,Tmin,Tmax
5.7500000000000000e+00,8.6249999999999993e-02,1.7714034916096161e-01,1.2500000000000000e+00,-1.0000000000000000e+00,2.0000000000000000e+01,-8.5342472057548369e-01,6.5000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00
6.2249999999999996e+00,9.3374999999999986e-02,1.7712101250513645e-01,1.2500000000000000e+00,-1.0000000000000000e+00,2.0000000000000000e+01,-8.5363203713775404e-01,6.5000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00
6.7000000000000002e+00,1.0049999999999999e-01,1.7710769026242187e-01,1.2500000000000000e+00,-1.0000000000000000e+00,2.0000000000000000e+01,-8.5376396185492587e-01,6.5000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00
7.1749999999999998e+00,1.0762500000000000e-01,1.7709833911646763e-01,1.2500000000000000e+00,-1.0000000000000000e+00,2.0000000000000000e+01,-8.5385170203195138e-01,6.5000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00
7.6500000000000004e+00,1.1475000000000000e-01,1.7709166119133232e-01,1.2500000000000000e+00,-1.0000000000000000e+00,2.0000000000000000e+01,-8.5391271697069038e-01,6.5000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00
8.1250000000000000e+00,1.2187500000000000e-01,1.7708681690966188e-01,1.2500000000000000e+00,-1.0000000000000000e+00,2.0000000000000000e+01,-8.5395663626364449e-01,6.5000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00
8.5999999999999996e+00,1.2900000000000000e-01,1.7708325574275466e-01,1.2500000000000000e+00,-1.0000000000000000e+00,2.0000000000000000e+01,-8.5398906216306347e-01,6.5000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00
9.0749999999999993e+00,1.3612500000000000e-01,1.7708061147970236e-01,1.2500000000000000e+00,-1.0000000000000000e+00,2.0000000000000000e+01,-8.5401345013192098e-01,6.5000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00
9.5500000000000007e+00,1.4325000000000002e-01,1.7707863578993641e-01,1.2500000000000000e+00,-1.0000000000000000e+00,2.0000000000000000e+01,-8.5403203152727136e-01,6.5000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00
1.0025000000000000e+01,1.5037500000000001e-01,1.7707715704185267e-01,1.2500000000000000e+00,-1.0000000000000000e+00,2.0000000000000000e+01,-8.5404632684020321e-01,6.5000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00
1.0500000000000000e+01,1.5750000000000000e-01,1.7707605433133269e-01,1.2500000000000000e+00,-1.0000000000000000e+00,2.0000000000000000e+01,-8.5405740103963779e-01,6.5000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00
1.0975000000000000e+01,1.6462499999999999e-01,1.7707524093332502e-01,1.2500000000000000e+00,-1.0000000000000000e+00,2.0000000000000000e+01,-8.5406601726181564e-01,6.5000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00
