r,z,U,V,W,T,rho,mu,kappa,Mr,u_physical,v_rotating_physical,v_inertial_physical
2.0000000000000000e+01,3.7500000000000000e+00,5.6988326927587249e-02,-9.1688108487456577e-01,-8.0417877161644846e-01,1.1166039617175942e+00,8.9557267776640304e-01,1.0902320421029754e+00,1.5142111695874658e+00,2.9999999999999999e-01,1.1397665385517450e+00,-1.8337621697491315e+01,1.6623783025086847e+00
2.0000000000000000e+01,4.0000000000000000e+00,4.7793319121150361e-02,-9.3172950147600853e-01,-8.1770103555835050e-01,1.1020913152398772e+00,9.0736582910313890e-01,1.0792556507200559e+00,1.4989661815556332e+00,2.9999999999999999e-01,9.5586638242300725e-01,-1.8634590029520169e+01,1.3654099704798295e+00
2.0000000000000000e+01,4.2500000000000000e+00,3.9863234936012688e-02,-9.4403173911998917e-01,-8.2810071220001058e-01,1.0891440350306059e+00,9.1815220745518678e-01,1.0694041890103734e+00,1.4852835958477408e+00,2.9999999999999999e-01,7.9726469872025374e-01,-1.8880634782399785e+01,1.1193652176002167e+00
2.0000000000000000e+01,4.5000000000000000e+00,3.3093273310911317e-02,-9.5419509940167380e-01,-8.3597984677321879e-01,1.0776534284462949e+00,9.2794211348795919e-01,1.0606138408728603e+00,1.4730747789900838e+00,2.9999999999999999e-01,6.6186546621822639e-01,-1.9083901988033475e+01,9.1609801196652407e-01
2.0000000000000000e+01,4.7500000000000000e+00,2.7362839786904944e-02,-9.6256980268522496e-01,-8.4184947569228841e-01,1.0675025517348258e+00,9.3676591065274206e-01,1.0528109618056656e+00,1.4622374469523134e+00,2.9999999999999999e-01,5.4725679573809893e-01,-1.9251396053704500e+01,7.4860394629550076e-01
2.0000000000000000e+01,5.0000000000000000e+00,2.2547062233627964e-02,-9.6945470813196166e-01,-8.4613560248898656e-01,1.0585714667079364e+00,9.4466933168897083e-01,1.0459163685595416e+00,1.4526616229993634e+00,2.9999999999999999e-01,4.5094124467255925e-01,-1.9389094162639232e+01,6.1090583736076676e-01
2.0000000000000000e+01,5.2500000000000000e+00,1.8524430940153574e-02,-9.7510316738631486e-01,-8.4918799979086379e-01,1.0507413608467429e+00,9.5170899068268067e-01,1.0398488789824913e+00,1.4442345541423491e+00,2.9999999999999999e-01,3.7048861880307149e-01,-1.9502063347726299e+01,4.9793665227370276e-01
2.0000000000000000e+01,5.5000000000000000e+00,1.5181496241483126e-02,-9.7972871424506081e-01,-8.5129014187883878e-01,1.0438976005800880e+00,9.5794836528439731e-01,1.0345280846567615e+00,1.4368445620232799e+00,2.9999999999999999e-01,3.0362992482966250e-01,-1.9594574284901217e+01,4.0542571509878389e-01
2.0000000000000000e+01,5.7500000000000000e+00,1.2415418724868564e-02,-9.8351040637147480e-01,-8.5266916654089253e-01,1.0379318464419136e+00,9.6345439580455494e-01,1.0298764047830862e+00,1.4303838955320642e+00,2.9999999999999999e-01,2.4830837449737128e-01,-1.9670208127429497e+01,3.2979187257050402e-01
2.0000000000000000e+01,6.0000000000000000e+00,1.0135017536719177e-02,-9.8659771542725894e-01,-8.5350520992599521e-01,1.0327433857772330e+00,9.6829475140855958e-01,1.0258205089256103e+00,1.4247507068411254e+00,2.9999999999999999e-01,2.0270035073438356e-01,-1.9731954308545177e+01,2.6804569145482127e-01
2.0000000000000000e+01,6.2500000000000000e+00,8.2608191712085291e-03,-9.8911491790929118e-01,-8.5393977268667998e-01,1.0282398424813255e+00,9.7253574378796903e-01,1.0222922138604029e+00,1.4198502970283375e+00,2.9999999999999999e-01,1.6521638342417058e-01,-1.9782298358185823e+01,2.1770164181417639e-01
2.0000000000000000e+01,6.5000000000000000e+00,6.7244827218847711e-03,-9.9116497711266993e-01,-8.5408298551457984e-01,1.0243374122445306e+00,9.7624082460172734e-01,1.0192289619349344e+00,1.4155957804651866e+00,2.9999999999999999e-01,1.3448965443769542e-01,-1.9823299542253398e+01,1.7670045774660137e-01
2.0000000000000000e+01,6.7500000000000000e+00,5.4678724462813213e-03,-9.9283293180600929e-01,-8.5401977316413447e-01,1.0209607527207445e+00,9.7946958032922771e-01,1.0165739806842979e+00,1.4119083065059694e+00,2.9999999999999999e-01,1.0935744892562643e-01,-1.9856658636120187e+01,1.4334136387981422e-01
2.0000000000000000e+01,7.0000000000000000e+00,4.4419651486302539e-03,-9.9418882292072752e-01,-8.5381499098322700e-01,1.0180426358913490e+00,9.8227713137421624e-01,1.0142762105172047e+00,1.4087169590516733e+00,2.9999999999999999e-01,8.8839302972605075e-02,-1.9883776458414552e+01,1.1622354158544956e-01
2.0000000000000000e+01,7.2500000000000000e+00,3.6057164570384181e-03,-9.9529019843996813e-01,-8.5351764505936412e-01,1.0155234479024955e+00,9.8471384591408673e-01,1.0122900723743473e+00,1.4059584338532602e+00,2.9999999999999999e-01,7.2114329140768360e-02,-1.9905803968799361e+01,9.4196031200637353e-02
2.0000000000000000e+01,7.5000000000000000e+00,2.9249635439108496e-03,-9.9618424069740374e-01,-8.5316432001571396e-01,1.0133506016836324e+00,9.8682528864003127e-01,1.0105751325144643e+00,1.4035765729367560e+00,2.9999999999999999e-01,5.8499270878216991e-02,-1.9923684813948075e+01,7.6315186051925110e-02
2.0000000000000000e+01,7.7500000000000000e+00,2.3714088913735915e-03,-9.9690956095933092e-01,-8.5278193696237059e-01,1.0114779105854159e+00,9.8865233687726028e-01,1.0090957082227254e+00,1.4015218169760075e+00,2.9999999999999999e-01,4.7428177827471829e-02,-1.9938191219186617e+01,6.1808780813381592e-02
2.0000000000000000e+01,8.0000000000000000e+00,1.9217072062779035e-03,-9.9749770459953491e-01,-8.5238995469769907e-01,1.0098649573282181e+00,9.9023140940119592e-01,1.0078204468273668e+00,1.3997506205935650e+00,2.9999999999999999e-01,3.8434144125558067e-02,-1.9949954091990698e+01,5.0045908009301865e-02
2.0000000000000000e+01,8.2500000000000000e+00,1.5566628441983301e-03,-9.9797440723387254e-01,-8.5200211420646899e-01,1.0084764815645491e+00,9.9159476525283108e-01,1.0067219010900390e+00,1.3982248626250542e+00,2.9999999999999999e-01,3.1133256883966599e-02,-1.9959488144677451e+01,4.0511855322549195e-02
2.0000000000000000e+01,8.5000000000000000e+00,1.2605359214004825e-03,-9.9836063848153456e-01,-8.5162781241564800e-01,1.0072818009705506e+00,9.9277084033134089e-01,1.0057761166878456e+00,1.3969112731775635e+00,2.9999999999999999e-01,2.5210718428009649e-02,-1.9967212769630692e+01,3.2787230369308862e-02
2.0000000000000000e+01,8.7500000000000000e+00,1.0204499838311692e-03,-9.9867346600376949e-01,-8.5127317753409359e-01,1.0062542745628797e+00,9.9378459826608279e-01,1.0049622418888731e+00,1.3957808915123238e+00,2.9999999999999999e-01,2.0408999676623383e-02,-1.9973469320075388e+01,2.6530679924610112e-02
2.0000000000000000e+01,9.0000000000000000e+00,8.2589139765340503e-04,-9.9892676843955563e-01,-8.5094190588744645e-01,1.0053708124603540e+00,9.9465787906930536e-01,1.0042621653514519e+00,1.3948085629881277e+00,2.9999999999999999e-01,1.6517827953068102e-02,-1.9978535368791114e+01,2.1464631208887308e-02
2.0000000000000000e+01,9.2500000000000000e+00,6.6828961111212507e-04,-9.9913182200566131e-01,-8.5063590928557331e-01,1.0046114331891112e+00,9.9540973451350012e-01,1.0036601849667994e+00,1.3939724791205548e+00,2.9999999999999999e-01,1.3365792222242502e-02,-1.9982636440113225e+01,1.7363559886773849e-02
2.0000000000000000e+01,9.5000000000000000e+00,5.4066746853274569e-04,-9.9929778197105568e-01,-8.5035581268480420e-01,1.0039588675381395e+00,9.9605674329283311e-01,1.0031427085593014e+00,1.3932537618879186e+00,2.9999999999999999e-01,1.0813349370654913e-02,-1.9985955639421114e+01,1.4044360578886472e-02
2.0000000000000000e+01,9.7500000000000000e+00,4.3735139341658029e-04,-9.9943207701142378e-01,-8.5010133414467393e-01,1.0033982066420393e+00,9.9661330205740384e-01,1.0026979858413543e+00,1.3926360914463254e+00,2.9999999999999999e-01,8.7470278683316055e-03,-1.9988641540228475e+01,1.1358459771524387e-02
2.0000000000000000e+01,1.0000000000000000e+01,3.5373220619328623e-04,-9.9954073161823020e-01,-8.4987157267296842e-01,1.0029165911892015e+00,9.9709189057711844e-01,1.0023158701131827e+00,1.3921053751571981e+00,2.9999999999999999e-01,7.0746441238657247e-03,-1.9990814632364604e+01,9.1853676353959024e-03
2.0000000000000000e+01,1.0250000000000000e+01,2.8606841525071971e-04,-9.9962862927235152e-01,-8.4966522432278624e-01,1.0025029382641741e+00,9.9750331079477139e-01,1.0019876076623382e+00,1.3916494550865808e+00,2.9999999999999999e-01,5.7213683050143941e-03,-1.9992572585447029e+01,7.4274145529695801e-03
2.0000000000000000e+01,1.0500000000000000e+01,2.3132490180617627e-04,-9.9969972697295251e-01,-8.4948074267059070e-01,1.0021477022108636e+00,9.9785690052860920e-01,1.0017056525446502e+00,1.3912578507564586e+00,2.9999999999999999e-01,4.6264980361235258e-03,-1.9993994539459049e+01,6.0054605409498585e-03
2.0000000000000000e+01,1.0750000000000000e+01,1.8704094325272701e-04,-9.9975722990753157e-01,-8.4931645639802866e-01,1.0018426659582649e+00,9.9816072321445570e-01,1.0014635043367068e+00,1.3909215338009817e+00,2.9999999999999999e-01,3.7408188650545401e-03,-1.9995144598150631e+01,4.8554018493685014e-03
2.0000000000000000e+01,1.1000000000000000e+01,1.5122245112182841e-04,-9.9980373352459917e-01,-8.4917065397518587e-01,1.0015807594173098e+00,9.9842173543925761e-01,1.0012555664790366e+00,1.3906327312208842e+00,2.9999999999999999e-01,3.0244490224365680e-03,-1.9996074670491982e+01,3.9253295080166062e-03
2.0000000000000000e+01,1.1250000000000000e+01,1.2225412447494484e-04,-9.9984133899135896e-01,-8.4904164327247966e-01,1.0013559017897367e+00,9.9864593419051784e-01,1.0010770229351436e+00,1.3903847540765883e+00,2.9999999999999999e-01,2.4450824894988966e-03,-1.9996826779827181e+01,3.1732201728207343e-03
2.0000000000000000e+01,1.1500000000000000e+01,9.8827935575663186e-05,-9.9987174695156977e-01,-8.4892779220628789e-01,1.0011628648952486e+00,9.9883848578885281e-01,1.0009237310429762e+00,1.3901718486708003e+00,2.9999999999999999e-01,1.9765587115132639e-03,-1.9997434939031397e+01,2.5650609686045378e-03
