r,z,U,V,W,T,rho,mu,kappa,Mr
8.5999999999999996e+00,9.2500000000000000e+00,6.6486714848151189e-04,-9.9913648383851894e-01,-8.5059490840313035e-01,1.0045485409755777e+00,9.9547205456974697e-01,1.0036103190740588e+00,1.3939032209361928e+00,1.2900000000000000e-01
8.5999999999999996e+00,9.5000000000000000e+00,5.3789384172974082e-04,-9.9930155801128773e-01,-8.5031845929589844e-01,1.0039048558990908e+00,9.9611033269124527e-01,1.0030998709570409e+00,1.3931942652181124e+00,1.2900000000000000e-01
8.5999999999999996e+00,9.7500000000000000e+00,4.3510463575954837e-04,-9.9943513445847409e-01,-8.5006728693464229e-01,1.0033518306570277e+00,9.9665936658048171e-01,1.0026611946707875e+00,1.3925849925983160e+00,1.2900000000000000e-01
8.5999999999999996e+00,1.0000000000000000e+01,3.5191295580659383e-04,-9.9954320644505978e-01,-8.4984050624215968e-01,1.0028767785059052e+00,9.9713147360915966e-01,1.0022842787244837e+00,1.3920614982284496e+00,1.2900000000000000e-01
8.5999999999999996e+00,1.0250000000000000e+01,2.8459582726533605e-04,-9.9963063195519386e-01,-8.4963683287255787e-01,1.0024687657022262e+00,9.9753731409227808e-01,1.0019604865199510e+00,1.3916117868332654e+00,1.2900000000000000e-01
8.5999999999999996e+00,1.0500000000000000e+01,2.3013326734740034e-04,-9.9970134720116954e-01,-8.4945474210029182e-01,1.0021183753948786e+00,9.9788610263329036e-01,1.0016823734119273e+00,1.3912255186276770e+00,1.2900000000000000e-01
8.5999999999999996e+00,1.0750000000000000e+01,1.8607690356714387e-04,-9.9975854044532464e-01,-8.4929258522228412e-01,1.0018175016275188e+00,9.9818579569176402e-01,1.0014435264922874e+00,1.3908937867948437e+00,1.2900000000000000e-01
8.5999999999999996e+00,1.1000000000000000e+01,1.5044270926250155e-04,-9.9980479337051464e-01,-8.4914867338360933e-01,1.0015591700890552e+00,9.9844325713785187e-01,1.0012384247326684e+00,1.3906089232398173e+00,1.2900000000000000e-01
8.5999999999999996e+00,1.1250000000000000e+01,1.2162357056895836e-04,-9.9984219595856705e-01,-8.4902133658278722e-01,1.0013373824838838e+00,9.9866440371918763e-01,1.0010623172289166e+00,1.3903643294846064e+00,1.2900000000000000e-01
8.5999999999999996e+00,1.1500000000000000e+01,9.8318114258079590e-05,-9.9987243977183460e-01,-8.4890896390430592e-01,1.0011469816585268e+00,9.9885433240119581e-01,1.0009111174434404e+00,1.3901543297825563e+00,1.2900000000000000e-01
8.5999999999999996e+00,1.1750000000000000e+01,7.9472837328178298e-05,-9.9989689364954493e-01,-8.4881002967571828e-01,1.0009835348964187e+00,9.9901743149399513e-01,1.0007813115165951e+00,1.3899740437730488e+00,1.2900000000000000e-01
8.5999999999999996e+00,1.2000000000000000e+01,6.4235096518763086e-05,-9.9991666510019872e-01,-8.4872310918272620e-01,1.0008432330637786e+00,9.9915747737915228e-01,1.0006698789010391e+00,1.3898192762514432e+00,1.2900000000000000e-01
8.5999999999999996e+00,1.2250000000000000e+01,5.1914949826723727e-05,-9.9993265006932486e-01,-8.4864688673978672e-01,1.0007228035479914e+00,9.9927771851962532e-01,1.0005742237539750e+00,1.3896864218805209e+00,1.2900000000000000e-01
8.5999999999999996e+00,1.2500000000000000e+01,4.1954203638374580e-05,-9.9994557326722844e-01,-8.4858015825898647e-01,1.0006194351706543e+00,9.9938094829174617e-01,1.0004921156952507e+00,1.3895723829100703e+00,1.2900000000000000e-01
8.5999999999999996e+00,1.2750000000000000e+01,3.3901318717672926e-05,-9.9995602083582746e-01,-8.4852182994850178e-01,1.0005307134778585e+00,9.9946956802953735e-01,1.0004216387008760e+00,1.3894744981956610e+00,1.2900000000000000e-01
8.5999999999999996e+00,1.3000000000000000e+01,2.7391075537043853e-05,-9.9996446680188478e-01,-8.4847091437379751e-01,1.0004545650095311e+00,9.9954564152593295e-01,1.0003611470497411e+00,1.3893904820135294e+00,1.2900000000000000e-01
8.5999999999999996e+00,1.3250000000000000e+01,2.2128102744203738e-05,-9.9997129449295352e-01,-8.4842652480577618e-01,1.0003892093280518e+00,9.9961094209691326e-01,1.0003092273756082e+00,1.3893183713550115e+00,1.2900000000000000e-01
8.5999999999999996e+00,1.3500000000000000e+01,1.7873539254794423e-05,-9.9997681387136561e-01,-8.4838786854131354e-01,1.0003331177448298e+00,9.9966699318564922e-01,1.0002646659967986e+00,1.3892564805511092e+00,1.2900000000000000e-01
8.5999999999999996e+00,1.3750000000000000e+01,1.4434236816543690e-05,-9.9998127556159611e-01,-8.4835423969785972e-01,1.0002849778234528e+00,9.9971510336576985e-01,1.0002264208030902e+00,1.3892033622265143e+00,1.2900000000000000e-01
8.5999999999999996e+00,1.4000000000000000e+01,1.1654021211006989e-05,-9.9998488219989279e-01,-8.4832501184309772e-01,1.0002436628609779e+00,9.9975639649614878e-01,1.0001935970739870e+00,1.3891577737138709e+00,1.2900000000000000e-01
8.5999999999999996e+00,1.4250000000000000e+01,9.4066209936598396e-06,-9.9998779761602619e-01,-8.4829963071355019e-01,1.0002082056565333e+00,9.9979183768403834e-01,1.0001654266857858e+00,1.3891186481747024e+00,1.2900000000000000e-01
8.5999999999999996e+00,1.4500000000000000e+01,7.5899465297503116e-06,-9.9999015426033411e-01,-8.4827760719508627e-01,1.0001777759702701e+00,9.9982225562840799e-01,1.0001412502377789e+00,1.3890850697746930e+00,1.2900000000000000e-01
8.5999999999999996e+00,1.4750000000000000e+01,6.1214621343024744e-06,-9.9999205921076784e-01,-8.4825851067760838e-01,1.0001516611573715e+00,9.9984836184024728e-01,1.0001205016916062e+00,1.3890562523494530e+00,1.2900000000000000e-01
8.5999999999999996e+00,1.5000000000000000e+01,4.9344429050616062e-06,-9.9999359903099272e-01,-8.4824196285121101e-01,1.0001292495327210e+00,9.9987076717056189e-01,1.0001026951731911e+00,1.3890315210738766e+00,1.2900000000000000e-01
8.5999999999999996e+00,1.5250000000000000e+01,3.9749474313708340e-06,-9.9999484369899350e-01,-8.4822763197816720e-01,1.0001100160832643e+00,9.9988999601894279e-01,1.0000874136348381e+00,1.3890102967150530e+00,1.2900000000000000e-01
8.5999999999999996e+00,1.5500000000000000e+01,3.1993696788712472e-06,-9.9999584978381117e-01,-8.4821522765140211e-01,1.0000935101982462e+00,9.9990649854509339e-01,1.0000742991168159e+00,1.3889920821066888e+00,1.2900000000000000e-01
