Tw,z_physical,F_c,G_c,H_c,T_c,rho_c
1.4,30.08374732031285,5.4047451042321084e-12,-0.9999999999929744,-0.8844741149865927,1.0000000054458045,0.9999999945541955
1.4,30.087747320334575,5.385656051223221e-12,-0.9999999999929993,-0.884474114974354,1.0000000054319185,0.9999999945680815
1.4,30.091747320356248,5.366634415267988e-12,-0.999999999993024,-0.8844741149621463,1.0000000054180678,0.9999999945819322
1.4,30.095747320377864,5.347679957250544e-12,-0.9999999999930486,-0.88447411494997,1.0000000054042524,0.9999999945957476
1.4,30.099747320399427,5.32879243810756e-12,-0.9999999999930732,-0.8844741149378244,1.000000005390472,0.9999999946095279
1.4,30.103747320420933,5.30997162103212e-12,-0.9999999999930976,-0.8844741149257096,1.0000000053767268,0.9999999946232732
1.4,30.107747320442385,5.2912172722758125e-12,-0.9999999999931221,-0.8844741149136257,1.0000000053630167,0.9999999946369833
1.4,30.11174732046378,5.272529158307652e-12,-0.9999999999931463,-0.8844741149015725,1.0000000053493414,0.9999999946506586
1.4,30.115747320485124,5.253907045596657e-12,-0.9999999999931705,-0.88447411488955,1.000000005335701,0.999999994664299
1.4,30.119747320506413,5.2353507006117945e-12,-0.9999999999931946,-0.8844741148775578,1.000000005322095,0.999999994677905
1.4,30.123747320527645,5.216859889822093e-12,-0.9999999999932186,-0.8844741148655962,1.0000000053085238,0.9999999946914762
1.4,30.127747320548824,5.198434380013204e-12,-0.9999999999932426,-0.884474114853665,1.0000000052949871,0.9999999947050129
1.4,30.13174732056995,5.180073941200106e-12,-0.9999999999932665,-0.8844741148417643,1.000000005281485,0.999999994718515
1.4,30.135747320591022,5.161778345282743e-12,-0.9999999999932904,-0.8844741148298936,1.0000000052680171,0.9999999947319829
1.4,30.13974732061204,5.14354736418447e-12,-0.9999999999933141,-0.8844741148180534,1.0000000052545837,0.9999999947454163
1.4,30.143747320633008,5.125380769828689e-12,-0.9999999999933377,-0.8844741148062428,1.0000000052411842,0.9999999947588158
1.4,30.14774732065392,5.107278334138807e-12,-0.9999999999933611,-0.8844741147944626,1.0000000052278188,0.9999999947721812
1.4,30.15174732067478,5.089239829038181e-12,-0.9999999999933846,-0.8844741147827121,1.0000000052144875,0.9999999947855125
1.4,30.155747320695586,5.071265027402618e-12,-0.999999999993408,-0.8844741147709916,1.0000000052011901,0.9999999947988099
1.4,30.15974732071634,5.053353705657096e-12,-0.9999999999934313,-0.8844741147593009,1.0000000051879268,0.9999999948120732
1.4,30.163747320737038,5.035505641052013e-12,-0.9999999999934545,-0.8844741147476398,1.000000005174697,0.9999999948253031
1.4,30.167747320757684,5.017720610837768e-12,-0.9999999999934776,-0.8844741147360083,1.0000000051615006,0.9999999948384994
1.4,30.171747320778277,4.999998392264712e-12,-0.9999999999935005,-0.8844741147244064,1.000000005148338,0.999999994851662
1.4,30.175747320798816,4.982338762583245e-12,-0.9999999999935234,-0.8844741147128339,1.000000005135209,0.9999999948647911
1.4,30.179747320819306,4.964741499078854e-12,-0.9999999999935464,-0.8844741147012911,1.0000000051221134,0.9999999948778866
1.4,30.183747320839743,4.947206381000222e-12,-0.9999999999935691,-0.8844741146897772,1.0000000051090507,0.9999999948909493
1.4,30.187747320860126,4.929733190555655e-12,-0.9999999999935919,-0.8844741146782931,1.0000000050960218,0.9999999949039782
1.4,30.19174732088046,4.912321710198082e-12,-0.9999999999936146,-0.8844741146668377,1.0000000050830258,0.9999999949169742
1.4,30.19574732090074,4.894971722380475e-12,-0.9999999999936372,-0.8844741146554116,1.0000000050700628,0.9999999949299372
