z_over_h,F_mode_abs,G_mode_abs,H_mode_abs,T_mode_abs
0.3579923276480386,0.018592976454443935,0.16363163175761392,0.19921390861642133,0.004511762077250661
0.37059047744873963,0.02024182840117352,0.16308711065060374,0.18369652235672723,0.0041046341695924445
0.38327731807204724,0.021170883980281167,0.16209684990508874,0.16703103212697976,0.003720914699996905
0.3960441545911204,0.021312293756230703,0.16073902011512464,0.1498245930858319,0.0033623807648623045
0.40888223725392625,0.02061422577931663,0.15910838992622775,0.13274550620995093,0.003030139581153784
0.4217827674798845,0.01904294735272835,0.15731443252859878,0.11650771907835723,0.002724670932729385
0.43473690388997427,0.01658458212862189,0.15547883156917444,0.10185310206606267,0.002445883819740012
0.4477357683661733,0.013246479966251844,0.15373245097993252,0.0895319056548758,0.002193184950846986
0.4607704521360775,0.009058143758910711,0.1522118511035323,0.08028188386978644,0.0019655562897790296
0.47383202187852813,0.004071665789637349,0.15105544883448074,0.0748066367644067,0.0017616384896707012
0.48691152584606345,0.0016383643979189684,0.1503994319797443,0.07375377885067023,0.0015798167713830951
0.49999999999999983,0.007975508463366235,0.15037354745957804,0.07769357850347945,0.0014183056843932328
0.5130884741539365,0.014822701121662325,0.151096889199985,0.0870987341258044,0.001275229279872357
0.5261679781214718,0.022044050832002175,0.15267381455071474,0.1023259550485748,0.0011486935526959924
0.5392295478639224,0.029487212015400166,0.15519011781215938,0.12359999757846352,0.0010368485720067735
0.5522642316338267,0.03698630715701357,0.15870958597099533,0.1510007682289774,0.0009379384823083962
0.5652630961100257,0.04436536093419479,0.1632710550191859,0.18445404589089953,0.000850338450882115
0.5782172325201154,0.05144219037662857,0.16888607521000434,0.223726291817028,0.0007725785717891655
0.5911177627460736,0.05803267540851924,0.17553728017307757,0.268423910651572,0.0007033556105491287
0.6039558454088797,0.06395531377780474,0.1831775378777643,0.31799719830028134,0.0006415341950473157
0.6167226819279527,0.06903594464021531,0.19172994095921872,0.37174906550476106,0.0005861395578998709
0.6294095225512604,0.07311250751884907,0.20108866999914307,0.42884846363285894,0.0005363441784440189
0.6420076723519613,0.07603968966739078,0.2111207363953984,0.4883482671242338,0.0004914506632973463
0.6545084971874737,0.07769330666332228,0.22166858204756854,0.5492071926043895,0.00045087297911657417
0.6669034296168854,0.07797425957912074,0.23255348229567294,0.6103151663370079,0.0004141177728699048
0.6791839747726501,0.07681191813255785,0.24357966763919228,0.6705213984950642,0.00038076705580452643
0.6913417161825448,0.07416679302726628,0.25453905027640905,0.7286642935462748,0.00035046305706094545
0.7033683215379001,0.07003238192839237,0.26521641504246096,0.7836022289548376,0.0003228956281255632
0.7152555484041474,0.06443610129939596,0.27539491250744885,0.8342441758945266,0.0002977922370020163
0.7269952498697734,0.05743924924647305,0.28486167622164815,0.8795791202849205,0.00027491034819041553
0.7385793801298042,0.04913598086036802,0.2934133774675357,0.9187032721642407,0.0002540318399171153
0.7499999999999999,0.03965131561419832,0.30086153012612205,0.9508441257868688,0.0002349590490198537
0.7612492823579744,0.029138233856056357,0.30703736561204237,0.9753805487389352,0.000217512037112359
0.7723195175075134,0.01777395463761139,0.3117961130576378,0.9918582303175989,0.00020152671599358627
0.7832031184624165,0.005755518269985499,0.3150205424314382,1.0,0.00018685353586311919
0.7938926261462365,0.006705177545119277,0.3166236569232594,0.999710727083194,0.00017335651161252765
0.8043807145043603,0.019386720573329363,0.3165504543094658,0.9910767224623004,0.00016091242956121164
0.8146601955249186,0.03206372732016805,0.31477871364556004,0.9743597728490365,0.00014941013323778774
