branch, pressure_gradient, z                   , H                      , F                      , G                      , T
     1,    0.001542390341, 0.812               , -0.15619185941291533   , -0.01851091835393039   , 0.03651770955570874    , 1.0002249469473639
     1,    0.001542390341, 0.8130000000000001  , -0.1550207703981576    , -0.018522028536355567  , 0.03635815829840923    , 1.0002235098130285
     1,    0.001542390341, 0.8140000000000001  , -0.15384900522910583   , -0.018532299257526013  , 0.03619804372284758    , 1.0002220777422361
     1,    0.001542390341, 0.8150000000000001  , -0.15267661718844622   , -0.01854172444666709   , 0.036037367829857656   , 1.0002206506790712
     1,    0.001542390341, 0.8160000000000001  , -0.15150365994244308   , -0.018550298036992298  , 0.0358761326540032     , 1.0002192285680616
     1,    0.001542390341, 0.8170000000000001  , -0.15033018754441974   , -0.018558013966005767  , 0.03571434026378468    , 1.000217811354176
     1,    0.001542390341, 0.8180000000000001  , -0.14915625443073116   , -0.018564866175723303  , 0.035551992761185716   , 1.0002163989828172
     1,    0.001542390341, 0.8190000000000001  , -0.14798191541922534   , -0.01857084861291485   , 0.03538909228143821    , 1.0002149913998162
     1,    0.001542390341, 0.8200000000000001  , -0.14680722570894048   , -0.018575955229359887  , 0.0352256409928948     , 1.0002135885514296
     1,    0.001542390341, 0.8210000000000001  , -0.14563224088102764   , -0.018580179982124762  , 0.03506164109700372    , 1.0002121903843346
     1,    0.001542390341, 0.8220000000000001  , -0.14445701690213233   , -0.01858351683388598   , 0.03489709482849034    , 1.0002107968456324
     1,    0.001542390341, 0.8230000000000001  , -0.1432816101202983    , -0.018585959753146475  , 0.034732004454890504   , 1.0002094078828374
     1,    0.001542390341, 0.8240000000000001  , -0.1421060772633512    , -0.018587502714481594  , 0.03456637227629896    , 1.0002080234438735
     1,    0.001542390341, 0.8250000000000001  , -0.1409304754385146    , -0.018588139698802183  , 0.034400200625222664   , 1.0002066434770716
     1,    0.001542390341, 0.8260000000000001  , -0.13975486213324212   , -0.018587864693644138  , 0.03423349186653394    , 1.0002052679311648
     1,    0.001542390341, 0.8270000000000001  , -0.13857929521849416   , -0.018586671693512843  , 0.034066248397624316   , 1.0002038967552904
     1,    0.001542390341, 0.8280000000000001  , -0.13740383294457345   , -0.018584554700094354  , 0.033898472647924775   , 1.0002025298989832
     1,    0.001542390341, 0.8290000000000001  , -0.13622853393943116   , -0.01858150772250479   , 0.03373016707863649    , 1.0002011673121671
     1,    0.001542390341, 0.8300000000000001  , -0.1350534572081977    , -0.01857752477756118   , 0.033561334182564045   , 1.0001998089451567
     1,    0.001542390341, 0.8310000000000001  , -0.13387866213392194   , -0.01857259989008336   , 0.033391976484045155   , 1.0001984547486504
     1,    0.001542390341, 0.8320000000000001  , -0.13270420848073525   , -0.01856672709326      , 0.03322209653907482    , 1.0001971046737352
     1,    0.001542390341, 0.833               , -0.13153015638962148   , -0.018559900428854373  , 0.033051696934812164   , 1.0001957586718753
     1,    0.001542390341, 0.834               , -0.13035656637664303   , -0.018552113947457066  , 0.03288078028929266    , 1.0001944166949106
     1,    0.001542390341, 0.835               , -0.12918349933238557   , -0.018543361708764628  , 0.032709349251240055   , 1.0001930786950528
     1,    0.001542390341, 0.836               , -0.12801101652259925   , -0.01853363778189399   , 0.03253740649997124    , 1.0001917446248818
     1,    0.001542390341, 0.837               , -0.1268391795912438    , -0.018522936245770557  , 0.03236495474548827    , 1.0001904144373488
     1,    0.001542390341, 0.838               , -0.12566805055619404   , -0.018511251189328188  , 0.032191996727971676   , 1.0001890880857676
     1,    0.001542390341, 0.839               , -0.12449769180738615   , -0.01849857671176519   , 0.032018535217473394   , 1.000187765523811
     1,    0.001542390341, 0.84                , -0.12332816610617221   , -0.018484906922830828  , 0.03184457301370609    , 1.0001864467055077
     1,    0.001542390341, 0.841               , -0.1221595365858605    , -0.01847023594315243   , 0.03167011294592158    , 1.0001851315852404
     1,    0.001542390341, 0.842               , -0.1209918667546342    , -0.01845455790464606   , 0.031495157872968325   , 1.0001838201177462
     1,    0.001542390341, 0.843               , -0.11982522049119464   , -0.018437866950710348  , 0.03131971068277118    , 1.0001825122581114
     1,    0.001542390341, 0.844               , -0.11865966204282602   , -0.01842015723648575   , 0.031143774292003972   , 1.0001812079617651
     1,    0.001542390341, 0.845               , -0.11749525602465818   , -0.018401422929148946  , 0.030967351645855117   , 1.0001799071844786
