branch,pressure_gradient,z,H,F,G,T
2,0.003786919205,0.744,-0.37047850954544875,-0.01992770509486059,0.07434276248661642,1.0001123108005907
2,0.003786919205,0.745,-0.3692137255347201,-0.020068208792915463,0.0742165854589888,1.00011148664183
2,0.003786919205,0.746,-0.3679400686968399,-0.020208281491215296,0.07408891155508784,1.0001106693820738
2,0.003786919205,0.747,-0.36665756697704616,-0.020347910150835403,0.07395973749364074,1.0001098589403714
2,0.003786919205,0.748,-0.36536624870803797,-0.02048708170371887,0.07382906003053559,1.0001090552361973
2,0.003786919205,0.749,-0.3640661432150244,-0.020625783007549005,0.07369687601693709,1.0001082581901055
2,0.003786919205,0.75,-0.3627572808220835,-0.020764000846248725,0.0735631824001297,1.0001074677237145
2,0.003786919205,0.751,-0.36143969224508016,-0.020901721974948266,0.07342797616513237,1.0001066837590566
2,0.003786919205,0.752,-0.3601134096013645,-0.021038933047117715,0.07329125443225747,1.000105906219614
2,0.003786919205,0.753,-0.35877846540484576,-0.021175620687833005,0.07315301436018644,1.0001051350292725
2,0.003786919205,0.754,-0.35743489318512905,-0.021311771449815064,0.07301325320595793,1.000104370112938
2,0.003786919205,0.755,-0.35608272749371,-0.021447371813979335,0.0728719683257934,1.0001036113965238
2,0.003786919205,0.756,-0.3547220032828557,-0.021582408233220773,0.07272915711484502,1.0001028588063343
2,0.003786919205,0.757,-0.3533527569380281,-0.021716867061587885,0.07258481710778486,1.0001021122700458
2,0.003786919205,0.758,-0.3519750252501011,-0.021850734625545515,0.07243894587883559,1.0001013717157146
2,0.003786919205,0.759,-0.35058884604819973,-0.021983997181293506,0.07229154110358797,1.0001006370723629
2,0.003786919205,0.76,-0.34919425820571265,-0.022116640915366876,0.07214260055980504,1.0000999082699642
2,0.003786919205,0.761,-0.3477913010055292,-0.022248651987125074,0.07199212206534751,1.0000991852388625
2,0.003786919205,0.762,-0.3463800151945127,-0.022380016460154133,0.07184010358171287,1.0000984679106988
2,0.003786919205,0.763,-0.3449604419335233,-0.022510720371340043,0.07168654311109822,1.0000977562174715
2,0.003786919205,0.764,-0.34353262344353686,-0.02264074968958078,0.07153143875999551,1.000097050092094
2,0.003786919205,0.765,-0.3420966030114597,-0.02277009031643759,0.07137478873997032,1.000096349468377
2,0.003786919205,0.766,-0.3406524243421493,-0.02289872812721453,0.07121659130381756,1.0000956542804815
2,0.003786919205,0.767,-0.3392001326342032,-0.023026648904776837,0.07105684485195526,1.0000949644637933
2,0.003786919205,0.768,-0.3377397735085089,-0.023153838406247032,0.07089554782661191,1.000094279954037
2,0.003786919205,0.769,-0.33627139366718534,-0.02328028232322522,0.07073269877713795,1.0000936006878005
2,0.003786919205,0.77,-0.33479504089918233,-0.02340596628249181,0.07056829636075493,1.0000929266025196
2,0.003786919205,0.771,-0.333310763419549,-0.023530875885562377,0.07040233927700427,1.00009225763596
