sample,Hinf,Tw,temporal_degree,rank_by_real_part,eigen_real,eigen_imag,positive_real_count,closest_to_zero_real,closest_to_zero_imag
upper_after_second,-0.1,1.0302198335855797,70,11,-0.0002004967327899946,-0.0027464052499260997,2,-4.611647320057914e-06,0.0
upper_after_second,-0.1,1.0302198335855797,70,12,-0.00026822920981852235,5.016597733190501e-05,2,-4.611647320057914e-06,0.0
upper_after_second,-0.1,1.0302198335855797,90,1,0.039449053848979315,0.0,2,-2.7904361980685875e-06,0.0
upper_after_second,-0.1,1.0302198335855797,90,2,0.0008128337415773051,0.0,2,-2.7904361980685875e-06,0.0
upper_after_second,-0.1,1.0302198335855797,90,3,-2.7904361980685875e-06,0.0,2,-2.7904361980685875e-06,0.0
upper_after_second,-0.1,1.0302198335855797,90,4,-1.7876526149913937e-05,-7.856535827021351e-06,2,-2.7904361980685875e-06,0.0
upper_after_second,-0.1,1.0302198335855797,90,5,-1.787652614991394e-05,7.856535827021351e-06,2,-2.7904361980685875e-06,0.0
upper_after_second,-0.1,1.0302198335855797,90,6,-2.1892831191722187e-05,0.0,2,-2.7904361980685875e-06,0.0
upper_after_second,-0.1,1.0302198335855797,90,7,-6.762287852528913e-05,-1.8116875794898182e-05,2,-2.7904361980685875e-06,0.0
upper_after_second,-0.1,1.0302198335855797,90,8,-6.762287852528913e-05,1.8116875794898185e-05,2,-2.7904361980685875e-06,0.0
upper_after_second,-0.1,1.0302198335855797,90,9,-7.327316011653119e-05,0.0,2,-2.7904361980685875e-06,0.0
upper_after_second,-0.1,1.0302198335855797,90,10,-0.00013852093754673287,0.0022255656541101884,2,-2.7904361980685875e-06,0.0
upper_after_second,-0.1,1.0302198335855797,90,11,-0.00013852093754673287,-0.0022255656541101884,2,-2.7904361980685875e-06,0.0
upper_after_second,-0.1,1.0302198335855797,90,12,-0.00016431142144118048,3.1377022743185524e-05,2,-2.7904361980685875e-06,0.0
upper,-0.08,1.0306077830180222,50,1,0.03803199330630483,0.0,2,-7.225442189539408e-06,0.0
upper,-0.08,1.0306077830180222,50,2,0.0017942593424882635,0.0,2,-7.225442189539408e-06,0.0
upper,-0.08,1.0306077830180222,50,3,-7.225442189539408e-06,0.0,2,-7.225442189539408e-06,0.0
upper,-0.08,1.0306077830180222,50,4,-4.6180583575170835e-05,-2.027982776166512e-05,2,-7.225442189539408e-06,0.0
upper,-0.08,1.0306077830180222,50,5,-4.618058357517084e-05,2.0279827761665124e-05,2,-7.225442189539408e-06,0.0
upper,-0.08,1.0306077830180222,50,6,-5.632942546278085e-05,0.0,2,-7.225442189539408e-06,0.0
upper,-0.08,1.0306077830180222,50,7,-0.0001714764230255034,4.2635155652905984e-05,2,-7.225442189539408e-06,0.0
upper,-0.08,1.0306077830180222,50,8,-0.00017147642302550343,-4.2635155652905984e-05,2,-7.225442189539408e-06,0.0
upper,-0.08,1.0306077830180222,50,9,-0.000185547536748232,0.0,2,-7.225442189539408e-06,0.0
upper,-0.08,1.0306077830180222,50,10,-0.0003909016101288857,-0.003486837096083336,2,-7.225442189539408e-06,0.0
upper,-0.08,1.0306077830180222,50,11,-0.00039090161012888576,0.003486837096083336,2,-7.225442189539408e-06,0.0
upper,-0.08,1.0306077830180222,50,12,-0.00039996324027455197,8.442191491528954e-05,2,-7.225442189539408e-06,0.0
upper,-0.08,1.0306077830180222,70,1,0.0380319952024078,0.0,2,-3.687492710979381e-06,0.0
upper,-0.08,1.0306077830180222,70,2,0.0017942468841344004,0.0,2,-3.687492710979381e-06,0.0
upper,-0.08,1.0306077830180222,70,3,-3.687492710979381e-06,0.0,2,-3.687492710979381e-06,0.0
upper,-0.08,1.0306077830180222,70,4,-2.3582992454545787e-05,-1.0914623192285866e-05,2,-3.687492710979381e-06,0.0
upper,-0.08,1.0306077830180222,70,5,-2.3582992454545787e-05,1.0914623192285868e-05,2,-3.687492710979381e-06,0.0
upper,-0.08,1.0306077830180222,70,6,-2.8880524134480648e-05,0.0,2,-3.687492710979381e-06,0.0
upper,-0.08,1.0306077830180222,70,7,-8.893298036496948e-05,1.9046859814320508e-05,2,-3.687492710979381e-06,0.0
upper,-0.08,1.0306077830180222,70,8,-8.893298036496948e-05,-1.9046859814320508e-05,2,-3.687492710979381e-06,0.0
upper,-0.08,1.0306077830180222,70,9,-9.609363956402072e-05,0.0,2,-3.687492710979381e-06,0.0
upper,-0.08,1.0306077830180222,70,10,-0.00020944945806119217,6.037461619025832e-05,2,-3.687492710979381e-06,0.0
upper,-0.08,1.0306077830180222,70,11,-0.0002094494580611922,-6.0374616190258325e-05,2,-3.687492710979381e-06,0.0
upper,-0.08,1.0306077830180222,70,12,-0.00022274706787805994,0.0,2,-3.687492710979381e-06,0.0
upper,-0.08,1.0306077830180222,90,1,0.03803199503757837,0.0,2,-2.232213322931229e-06,0.0
upper,-0.08,1.0306077830180222,90,2,0.001794243478605356,0.0,2,-2.232213322931229e-06,0.0
upper,-0.08,1.0306077830180222,90,3,-2.232213322931229e-06,0.0,2,-2.232213322931229e-06,0.0
