T,mu_chapman,mu_sutherland,rho_mu_chapman,rho_mu_sutherland,nu_chapman,nu_sutherland,dmu_dT_chapman,dmu_dT_sutherland,rel_mu_sutherland_minus_chapman,rel_rho_mu_sutherland_minus_chapman
1.823,1.823,1.5572824788390176,0.9999999999999999,0.8542416230603497,3.323329,2.838925958923529,1.0,0.586327756723454,-0.1457583769396502,-0.14575837693965024
1.824,1.824,1.5578687206542854,0.9999999999999999,0.8540946933411652,3.3269760000000006,2.841552546473417,1.0,0.586155896100755,-0.1459053066588348,-0.14590530665883475
1.8250000000000002,1.8250000000000002,1.558454790675769,1.0,0.8539478305072706,3.3306250000000004,2.8441799929832787,1.0,0.5859841691273401,-0.14605216949272934,-0.14605216949272937
1.826,1.826,1.559040689037037,1.0,0.8538010345219261,3.334276,2.8468082981816294,1.0,0.5858125756440099,-0.14619896547807398,-0.14619896547807387
1.827,1.827,1.5596264158715005,1.0,0.8536543053483857,3.337929,2.849437461797231,1.0,0.585641115491813,-0.14634569465161437,-0.1463456946516143
1.828,1.828,1.5602119713124112,1.0,0.8535076429498967,3.3415840000000006,2.852067483559088,1.0,0.5854697885120422,-0.14649235705010333,-0.14649235705010333
1.8290000000000002,1.8290000000000002,1.5607973554928627,0.9999999999999999,0.8533610472897006,3.345241000000001,2.854698363196446,1.0,0.5852985945462371,-0.14663895271029934,-0.14663895271029928
1.83,1.83,1.5613825685457892,0.9999999999999999,0.8532145183310322,3.3489000000000004,2.8573301004387943,1.0,0.5851275334361817,-0.1467854816689677,-0.14678548166896768
1.831,1.831,1.5619676106039677,1.0,0.8530680560371205,3.3525609999999997,2.8599626950158648,1.0,0.5849566050239047,-0.14693194396287942,-0.14693194396287945
1.832,1.832,1.562552481800017,0.9999999999999999,0.8529216603711882,3.3562240000000005,2.8625961466576313,1.0,0.584785809151679,-0.14707833962881176,-0.1470783396288117
1.833,1.833,1.563137182266398,1.0,0.8527753312964528,3.359889,2.8652304550943075,1.0,0.5846151456620211,-0.1472246687035472,-0.14722466870354722
1.834,1.834,1.563721712135416,1.0,0.8526290687761265,3.3635560000000004,2.8678656200563535,1.0,0.5844446143976917,-0.14737093122387349,-0.14737093122387346
1.835,1.835,1.5643060715392167,1.0,0.8524828727734152,3.3672249999999995,2.8705016412744624,1.0,0.5842742152016929,-0.14751712722658486,-0.14751712722658483
1.8359999999999999,1.8359999999999999,1.5648902606097899,0.9999999999999999,0.8523367432515195,3.3708959999999997,2.8731385184795744,1.0,0.58410394791727,-0.1476632567484804,-0.14766325674848038
1.837,1.837,1.565474279478969,0.9999999999999999,0.8521906801736359,3.374569,2.875776251402866,1.0,0.5839338123879102,-0.1478093198263641,-0.14780931982636406
1.838,1.838,1.566058128278432,1.0,0.8520446835029554,3.3782440000000005,2.878414839775758,1.0,0.5837638084573419,-0.14795531649704463,-0.14795531649704463
1.839,1.839,1.5666418071396984,1.0,0.8518987532026636,3.3819209999999997,2.881054283329905,1.0,0.5835939359695352,-0.14810124679733638,-0.14810124679733638
1.8399999999999999,1.8399999999999999,1.5672253161941332,1.0,0.8517528892359421,3.3855999999999993,2.883694581797205,1.0,0.5834241947687001,-0.14824711076405797,-0.14824711076405794
1.841,1.841,1.567808655572946,1.0,0.8516070915659674,3.389281,2.886335734909794,1.0,0.5832545846992873,-0.14839290843403258,-0.14839290843403263
